cid,Probability of nongelator,Probability of gelator
3007906,0.5348495542184019,0.46515044578159814
121486905,0.534888925407073,0.46511107459292705
11077469,0.5348934623893047,0.4651065376106953
10541096,0.5349692691598023,0.4650307308401978
3081452,0.5349956955062014,0.4650043044937986
3012247,0.5351030499887784,0.46489695001122155
102122294,0.5351304305905016,0.4648695694094984
507022,0.5351316012688765,0.46486839873112357
6534306,0.5351316012688765,0.46486839873112357
51380955,0.5352306968524799,0.4647693031475201
100016,0.5352306968524799,0.4647693031475201
10878902,0.5352306968524799,0.4647693031475201
46874484,0.5352306968524799,0.4647693031475201
17756793,0.5352306968524799,0.4647693031475201
456289,0.5353870468860482,0.4646129531139518
5273512,0.5353884475580946,0.4646115524419054
14862343,0.5354224210082419,0.46457757899175806
451912,0.5354685642054088,0.4645314357945912
15450939,0.5355054720102077,0.4644945279897923
11001292,0.5355875938338717,0.4644124061661284
21603712,0.5355951718423158,0.46440482815768425
502235,0.5355960394294025,0.4644039605705975
382445,0.5355960394294025,0.4644039605705975
44567065,0.5355979025464103,0.46440209745358974
11130341,0.5355987353003092,0.4644012646996908
14018566,0.5356852299198924,0.4643147700801075
493223,0.5357505016970325,0.4642494983029675
22366141,0.5357573321950313,0.4642426678049687
3006525,0.535838339708213,0.46416166029178696
92245372,0.535838339708213,0.46416166029178696
516079,0.5358585546715326,0.4641414453284674
516084,0.5358585546715326,0.4641414453284674
121487309,0.5358826996411299,0.46411730035887006
96547,0.5358906152166159,0.4641093847833841
6595777,0.5358906152166159,0.4641093847833841
58956275,0.5359310440456581,0.46406895595434194
273017,0.5359369301845017,0.4640630698154983
66906535,0.5359535107715666,0.4640464892284334
5273490,0.5360079070580794,0.4639920929419205
503317,0.5360969725185679,0.4639030274814321
641065,0.5361032847509033,0.46389671524909665
350902,0.5361870240623573,0.4638129759376427
15160100,0.5361870240623573,0.4638129759376427
263554,0.536191343909185,0.46380865609081495
92153662,0.536191343909185,0.46380865609081495
21627889,0.536191936065195,0.46380806393480495
453657,0.5362599843188441,0.46374001568115586
22860550,0.5363377000368689,0.46366229996313113
49784135,0.536360862605539,0.46363913739446105
54213197,0.5364056597411632,0.46359434025883683
29982346,0.536514689237445,0.4634853107625549
45039581,0.536514689237445,0.4634853107625549
11697766,0.536514689237445,0.4634853107625549
6481567,0.5365347785460245,0.4634652214539755
121486909,0.5367179620894202,0.46328203791057976
131884919,0.5367214787558371,0.4632785212441629
97297,0.5367235002073016,0.4632764997926984
