cid,Iso_smiles,Type,Canonical_smiles
12097724,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)CC(F)F)CO)O,Cytidine,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CC(F)F
12800113,[2H][C@@]1(C[C@@H]([C@H](O1)CO)O)N2C=CC(=NC2=O)N,Cytidine,[2H][C@]1(n2ccc(N)nc2=O)C[C@H](O)[C@@H](CO)O1
12994351,COC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=O)NC2=O)OC)O,Cytidine,COC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC)[C@@H]1O
13009365,CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)CCCN)CO)O,Cytidine,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cc(CCCN)c(=O)[nH]c1=O
13146158,C=C1[C@H]([C@H]([C@@H](O1)N2C=CC(=O)NC2=O)O)O,Cytidine,C=C1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O
13630026,C([C@@H]1[C@H]([C@H]([C@@H](O1)N2C(=NC(=NC2=O)N)N)O)O)O,Cytidine,Nc1nc(N)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
13845038,CC1=CN(C(=O)N(C1=O)C)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n(C)c1=O
13941596,CCN1C(=O)C=CN(C1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,CCn1c(=O)ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1=O
14133066,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CN)O,Cytidine,NC[C@H]1O[C@@H](n2ccc(N)nc2=O)C[C@@H]1O
14410659,C[C@H]1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C)CO)O,Cytidine,Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2C)c(=O)[nH]c1=O
14427740,C1[C@@H]([C@H](O[C@H]1N2C=CC=CC2=O)CO)O,Cytidine,O=c1ccccn1[C@H]1C[C@H](O)[C@@H](CO)O1
14530807,CC(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O,Cytidine,CC(=O)OC[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
14539818,C=CC(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O,Cytidine,C=CC(=O)OC[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
14803227,CN(C)C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,CN(C)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O
14862102,CO[C@H]1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N,Cytidine,CO[C@H]1C[C@H](n2ccc(N)nc2=O)O[C@@H]1CO
14862326,CCCC1=CN(C(=O)N=C1N)[C@H]2C[C@@H]([C@H](O2)CO)O,Cytidine,CCCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)nc1N
14885958,C#CC1=CN(C(=O)NC1=O)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O
15037959,C1=C(C(=O)NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CF)O)O)F,Cytidine,O=c1[nH]c(=O)n([C@@H]2O[C@H](CF)[C@@H](O)[C@H]2O)cc1F
15124187,CC1=CN(C(=O)N=C1N)[C@H]2C[C@@H]([C@H](O2)CO)Cl,Cytidine,Cc1cn([C@H]2C[C@H](Cl)[C@@H](CO)O2)c(=O)nc1N
15124212,CCCCN1C(=O)C=NN(C1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,Cytidine,CCCCn1c(=O)cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1=O
15277004,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CS)O,Cytidine,Cc1cn([C@H]2C[C@H](O)[C@@H](CS)O2)c(=O)[nH]c1=O
15277413,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)COO)CO)O,Cytidine,Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1COO
15333771,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@](O2)(CO)C(=O)C)O,Cytidine,CC(=O)[C@]1(CO)O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@@H]1O
