ID,PCA1,PCA2,GEL,Kmeans,Full Name,Chemdraw_smiles,ID_index,Code,Group
Nuthanakanti_2020_4b,0.1250558168700794,0.9873109760470656,Gelator,0,Gelator 0,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=CC2=O,44,0,Train
Seela_2011_2,-0.1309535580340307,-0.6276797345789225,Gelator,1,Gelator 1,O[C@H]1C[C@H](N2N=C(N3N=NC(CC4=CC=CC=C4)=C3)C5=C2N=CN=C5N)O[C@@H]1CO,47,1,Train
Seela_2011_3,0.50732504904684,-0.2137271815481448,Nongelator,1,Nongelator 1,NC1=NC=NC2=C1C(C#CCCCCC3=CN(CC4=CC=CC=C4)N=N3)=NN2[C@H]5C[C@H](O)[C@@H](CO)O5,48,4,Train
Seela_2011_4,0.3249200815926953,-0.4048329011056815,Nongelator,1,Nongelator 1,NC1=NC=NC2=C1C(C#CCN(CC3=CN(CC4=CC=CC=C4)N=N3)CC5=CN(CC6=CC=CC=C6)N=N5)=NN2[C@H]7C[C@H](O)[C@@H](CO)O7,49,4,Train
Seela_2011_13,-0.045978803257738,-0.4965264593745417,Nongelator,1,Nongelator 1,NC1=NC=NC2=C1C(C3=CN(CC4=CC=CC=C4)N=N3)=CN2[C@H]5C[C@H](O)[C@@H](CO)O5,50,4,Train
Jung_2005,-1.2048528423176976,0.2022224363277911,Gelator,3,Gelator 3,O[C@H]1C[C@H](N(C=C2C3CN(CC4=CC=CC=C4)N=N3)C(NC2=O)=O)O[C@@H]1CO,51,2,Train
Sreenivasachary_2005,-0.563613997946858,-0.5158742764695865,Gelator,1,Gelator 1,O[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(N)NC3=O)C(NN)=O)O,52,1,Train
Buerkle_2012_8OMeG,-0.475322057941308,-0.5649121438279104,Gelator,1,Gelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C(OC)=N2,55,1,Train
Buerkle_2012_8BrTAcG,-0.06293720198516,-0.0187695251289203,Nongelator,1,Nongelator 1,O=C1C2=C(N(C(Br)=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COC(C)=O)OC(C)=O)OC(C)=O)N=C(N)N1,56,4,Train
Xiao_2018_2,0.0886076636269103,-0.7453493920686147,Gelator,1,Gelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CNN)O3)C=N2,58,1,Train
Xiao_2018_4,0.087278973357574,-0.773884269627424,Nongelator,1,Nongelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CN)O3)C=N2,59,4,Train
Xiao_2019_2,-0.7529091765944519,-0.6091264632742723,Gelator,1,Gelator 1,O[C@@H]1[C@H](O)[C@@H](C(O)=O)O[C@H]1N2C=NC(C3=O)=C2N=C(N3)N,61,1,Train
Xiao_2019_3,-0.4899233218403493,-0.5276252600447209,Nongelator,1,Nongelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](C(NO)=O)O3)C=N2,62,4,Train
Jia_2018_UC8,0.1578827620047934,1.371057700910733,Nongelator,0,Nongelator 0,O=C1NC(C(C2=CC3=C(C=C2)N(CCCCCCCC)C4=C3C=CC=C4)=CN1[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O)=O,63,3,Train
Jia_2018_UC12,0.2890657166176881,1.4368127851835155,Nongelator,0,Nongelator 0,O=C1NC(C(C2=CC3=C(N(C4=C3C=CC=C4)CCCCCCCCCCCC)C=C2)=CN1[C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)=O,64,3,Train
Jia_2018_UC16,0.3785492002045982,1.4778316288069295,Nongelator,0,Nongelator 0,O=C1NC(C(C2=CC3=C(N(C4=C3C=CC=C4)CCCCCCCCCCCCCCCC)C=C2)=CN1[C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)=O,65,3,Train
Tang_2019_ArabinoC,0.6369322212341721,-0.2324325082234744,Nongelator,1,Nongelator 1,O=C1N=C(C=CN1[C@@H]2O[C@@H]([C@H]([C@@H]2O)O)CO)N,66,4,Train
Tang_2019_DideoxyC,0.9915473971515606,0.1450106591149814,Nongelator,2,Nongelator 2,O=C1N=C(N)C=CN1[C@@H]2O[C@H](CO)CC2,67,5,Train
Peters_2014_3,-0.3223538770636683,-0.3810278483930667,Nongelator,1,Nongelator 1,O=C1C2=C(N=CN1)N([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C=N2,68,4,Train
Plank_2016_2,0.3609857091142358,-0.6021658114450221,Gelator,1,Gelator 1,O=C1C2=C(N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CI)O)O)N=C(N1)N,69,1,Train
Du2021_L_G,-0.4249325098197969,-0.4465578970210031,Gelator,1,Gelator 1,O=C1C2=C(N=C(N1)N)N([C@@H]3[C@@H](O)[C@@H](O)[C@H](CO)O3)C=N2,70,1,Train
