,Statistics,Pvalues,Difference_mean,Log_P
SpPosA_B(m),-0.634071591877235,0.5260341013079137,1.003634022194921,0.6423892369620241
SpPosLog_B(m),0.12681431837544702,0.8990873628120055,1.002360766274016,0.10637507146555679
SpMax_B(m),0.8531145054348254,0.3935958081601312,0.9822739058391963,0.9324307638604171
SpMaxA_B(m),0.2305714879553582,0.8176477201105937,1.0492954646057588,0.20132369515154502
SpDiam_B(m),0.6801858894683067,0.4963867657720248,0.9910613506277693,0.700399886417989
SpAD_B(m),0.01152857439776791,0.9908017322343429,1.129083487115606,0.009240833049584334
SpMAD_B(m),-1.3719003533343814,0.17009446040128096,1.004597714484244,1.771401346828553
Ho_B(m),0.2651572111486619,0.7908883559462445,1.017282169858415,0.23459846410118493
EE_B(m),0.04611429759107164,0.9632191503020813,1.0247676886301988,0.037474322667083115
SM1_B(m),0.22480720075647426,0.8221292640622282,1.0177282111323476,0.1958576407391591
SM2_B(m),0.02305714879553582,0.9816046868975358,1.032346069214493,0.018566610843843666
SM3_B(m),0.01152857439776791,0.9908017322343429,1.025075320470988,0.009240833049584334
SM4_B(m),-0.03458572319330373,0.9724100859310765,1.017140153235746,0.027977664390055463
SM5_B(m),-0.01152857439776791,0.9908017322343429,1.0079549288760052,0.009240833049584334
SM6_B(m),-0.18445719036428657,0.8536548079975348,1.005437613283807,0.15822837299874926
VE1_B(m),-0.4150286783196448,0.6781209092299321,0.9948853875529614,0.3884296747434977
VE2_B(m),-0.9222859518214328,0.3563794397365022,1.0615242114937784,1.0317592737798946
VE3_B(m),-0.3458572319330373,0.7294500113144082,0.9952630622690669,0.31546443795335705
VE1sign_B(m),-1.4987146717098283,0.1339476688698161,1.0572959236080945,2.010306086130515
VE2sign_B(m),-0.4957286991040202,0.62008583601304,1.078345742954966,0.47789736534332705
VE3sign_B(m),-0.43808582711518057,0.6613240680116785,0.96419833606301,0.41351128996655656
VR1_B(m),-0.1037571695799112,0.9173620566705083,1.058617263479197,0.0862530573097723
VR2_B(m),-1.8676290524384016,0.06181379399394172,1.0042371276715856,2.783628735639286
VR3_B(m),0.02305714879553582,0.9816046868975358,1.0198118012692883,0.018566610843843666
Wi_B(v),0.1037571695799112,0.9173620566705083,1.0505556584177964,0.0862530573097723
WiA_B(v),-0.36891438072857313,0.7121915439891383,1.0644452243870648,0.33940838129355877
AVS_B(v),-1.4987146717098283,0.1339476688698161,1.0073392059374435,2.010306086130515
Chi_B(v),0.1152857439776791,0.9082186376756121,1.0099859477441633,0.09627013897455404
ChiA_B(v),1.4641289485165245,0.14315871899888938,0.995291805271207,1.9438013411622799
J_B(v),0.8070002078437537,0.41966636340556585,0.713600871525996,0.8682952562299117
HyWi_B(v),0.02305714879553582,0.9816046868975358,1.012458000288685,0.018566610843843666
SpAbs_B(v),0.03458572319330373,0.9724100859310765,1.066040210809178,0.027977664390055463
SpPos_B(v),0.1037571695799112,0.9173620566705083,1.0454691308031694,0.0862530573097723
SpPosA_B(v),-1.6255289900852754,0.10404989189229631,1.0053832502502595,2.2628847651406665
SpPosLog_B(v),0.2305714879553582,0.8176477201105937,1.0152100210065804,0.20132369515154502
SpMax_B(v),1.0145145470035761,0.31033729164377166,0.985963240608031,1.170095535426259
SpMaxA_B(v),-0.04611429759107164,0.9632191503020813,1.0597150159505897,0.037474322667083115
SpDiam_B(v),0.9453431006169687,0.344483740910144,0.9878520181140761,1.065708385839169
SpAD_B(v),-0.14987146717098285,0.8808660233255833,1.0647682583097913,0.12684973802052568
SpMAD_B(v),-1.948329073222777,0.051375600540346504,1.0091729842112733,2.968591916884248
Ho_B(v),-0.02305714879553582,0.9816046868975358,1.0544436053809623,0.018566610843843666
EE_B(v),-0.12681431837544702,0.8990873628120055,1.0162368693632637,0.10637507146555679
SM1_B(v),0.2997429343419657,0.7643732466005716,1.0021122091788521,0.26869906644282876
SM2_B(v),-0.12681431837544702,0.8990873628120055,1.016185752203293,0.10637507146555679
SM3_B(v),-0.21904291355759029,0.826616619185554,1.0162396561701765,0.19041427163171545
SM4_B(v),-0.1152857439776791,0.9082186376756121,1.0142723864746612,0.09627013897455404
SM5_B(v),-0.2075143391598224,0.8356081953650434,1.0117621531631182,0.17959544158687982
SM6_B(v),-0.47267155030848435,0.636447526779879,1.0039157213592789,0.45185330463462486
VE1_B(v),-0.2305714879553582,0.8176477201105937,1.000072209782415,0.20132369515154502
VE2_B(v),-0.32280008313750147,0.7468466500397626,0.9798564126556609,0.29189540268844594
VE3_B(v),-0.06917144638660747,0.944853151135727,0.9634425031737599,0.056725759187114505
VE1sign_B(v),-2.2711291563602782,0.023139160444771316,1.1223391695375327,3.7662288394317853
VE2sign_B(v),-0.9453431006169687,0.344483740910144,1.084269098286447,1.065708385839169
VE3sign_B(v),-0.8300573566392896,0.40650635561717274,0.9705528271327653,0.900155715141902
VR1_B(v),-0.05764287198883955,0.9540330995169046,1.0585723863635002,0.047056912625343617
VR2_B(v),-1.8561004780406336,0.06343923763475535,1.004509292935118,2.757672718834381
VR3_B(v),0.09222859518214328,0.9265164191921244,1.0197990845980567,0.07632351167373526
Wi_B(e),0.09222859518214328,0.9265164191921244,1.0276516185586373,0.07632351167373526
WiA_B(e),-0.27668578554642986,0.7820213874219097,1.0436040088111505,0.2458731891664348
AVS_B(e),-1.6947004364718827,0.09013226284135532,1.008728446168847,2.406477100312078
Chi_B(e),0.04611429759107164,0.9632191503020813,1.0201087414105976,0.037474322667083115
ChiA_B(e),1.0606288445946477,0.2888586085768071,0.9897348464219959,1.241817954267311
J_B(e),0.8185287822415216,0.413055314081041,0.7228855198967729,0.8841737625896323
HyWi_B(e),0.03458572319330373,0.9724100859310765,1.004371996945086,0.027977664390055463
SpAbs_B(e),0.09222859518214328,0.9265164191921244,1.0315261400811395,0.07632351167373526
SpPos_B(e),0.08070002078437537,0.9356805202884368,1.0077814134108651,0.06648118524716891
SpPosA_B(e),-0.8877002286281291,0.3747020228992759,1.0049990519337377,0.9816241744800257
SpPosLog_B(e),0.17292861596651865,0.8627075382114653,1.004188168874338,0.14767953500864384
SpMax_B(e),0.8877002286281291,0.3747020228992759,0.9822602216064008,0.9816241744800257
SpMaxA_B(e),-0.09222859518214328,0.9265164191921244,1.050944549278947,0.07632351167373526
SpDiam_B(e),0.7263001870593784,0.4676547647162801,0.9908766844898307,0.7600249375160809
SpAD_B(e),-0.1037571695799112,0.9173620566705083,1.0598470287894135,0.0862530573097723
SpMAD_B(e),-1.9022147756317052,0.05714308193213951,1.0066422865848432,2.8621969471247644
Ho_B(e),0.19598576476205448,0.8446213080048428,1.0131022921092112,0.16886690828425613
EE_B(e),-0.01152857439776791,0.9908017322343429,1.0100562848224244,0.009240833049584334
SM1_B(e),0.1671643287676347,0.8672407509628441,0.9908510296693616,0.14243865797687377
SM2_B(e),0.0,1.0,1.0091160048226386,-0.0
SM3_B(e),-0.03458572319330373,0.9724100859310765,1.009378599201279,0.027977664390055463
SM4_B(e),-0.09222859518214328,0.9265164191921244,1.0081018475101222,0.07632351167373526
SM5_B(e),-0.06917144638660747,0.944853151135727,1.0059384351037182,0.056725759187114505
SM6_B(e),-0.2075143391598224,0.8356081953650434,1.0060139000919606,0.17959544158687982
