ID,ALOGP,MLOGP,LOGP99,LOGPcons,ESOL,Hy,TPSA(NO),TPSA(Tot),Probability of gelator
122879,-0.596799999999999,-0.328794759898173,-1.47649986832403,-0.800698209407399,-0.811815442671264,1.30603394865514,104.55,104.55,Top 10%
89341487,-0.596799999999999,-0.328794759898173,-1.47649986832403,-0.800698209407399,-0.811815442671264,1.30603394865514,104.55,104.55,Top 10%
58859108,-0.596799999999999,-0.328794759898173,-1.47649986832403,-0.800698209407399,-0.811815442671264,1.30603394865514,104.55,104.55,Top 10%
99692,-0.9905,-0.528083430154121,-1.5023998671677,-1.00699443244061,-0.648825863886219,1.25069414495336,113.78,113.78,Top 10%
10019998,-1.1489,-0.889598117393902,-0.856399875599891,-0.964965997664597,-1.01417359762077,2.15572289624653,134.01,175.91,Top 10%
135771852,-1.9746,-0.187971192183338,-2.38439995795488,-1.51565705004607,-0.755944442050633,3.88034099249188,205.33,205.33,Top 10%
53774252,-2.8986,-1.9953636231334,-3.39679983258247,-2.76358781857196,0.382249946088938,2.03632586161531,168.15,168.15,Top 10%
58463488,-0.2496,-0.677696618966033,-1.18999988585711,-0.705765501607713,-1.50103874188425,1.4239907009387,99.1,99.1,Top 10%
3003718,-2.2365,-1.55782649119558,-3.19079983979464,-2.3283754436634,0.098152557902403,3.24409984841398,140.57,172.66,Top 10%
136921541,-1.9745,-0.235916080545735,-1.91409996151924,-1.37483868068833,-0.655856501056847,2.9134114530417,148.51,148.51,Top 10%
453036,,-0.422384047912866,0.17620012909174,-0.123091959410563,-1.38019418016907,0.606657915709718,133.08,133.08,Top 10%
13832606,-2.9026,-0.7199628404578,-3.22970001399517,-2.28408761815099,-0.150786050146069,4.94108001128409,174.67,174.67,Top 10%
270262,-2.9026,-0.7199628404578,-3.22970001399517,-2.28408761815099,-0.150786050146069,4.94108001128409,174.67,174.67,Top 10%
156588443,-3.3127,-1.45895674986764,-3.75672981888056,-2.84279552291606,0.32898009290375,2.98592239390585,141.48,141.48,Top 10%
381335,-0.918700000000001,-0.265124099476021,-0.448299877345562,-0.544041325607195,-0.992175320028606,0.548364824156142,105.91,105.91,Top 10%
5468297,-0.918700000000001,-0.265124099476021,-0.448299877345562,-0.544041325607195,-0.992175320028606,0.548364824156142,105.91,105.91,Top 10%
6367704,-0.918700000000001,-0.265124099476021,-0.448299877345562,-0.544041325607195,-0.992175320028606,0.548364824156142,105.91,105.91,Top 10%
495778,-0.918700000000001,-0.265124099476021,-0.448299877345562,-0.544041325607195,-0.992175320028606,0.548364824156142,105.91,105.91,Top 10%
516466,-2.6869,-1.41013211751308,-2.23429990559816,-2.11044400770375,0.0989081413464028,3.01538269577859,147.64,147.64,Top 10%
3995254,-1.122,-0.969162618846852,-1.35749986767769,-1.14955416217485,-0.521889411450656,1.36633043352894,99.1,99.1,Top 10%
157173,-1.122,-0.969162618846852,-1.35749986767769,-1.14955416217485,-0.521889411450656,1.36633043352894,99.1,99.1,Top 10%
165328,-1.122,-0.969162618846852,-1.35749986767769,-1.14955416217485,-0.521889411450656,1.36633043352894,99.1,99.1,Top 10%
7275412,-1.122,-0.969162618846852,-1.35749986767769,-1.14955416217485,-0.521889411450656,1.36633043352894,99.1,99.1,Top 10%
45040528,-1.122,-0.969162618846852,-1.35749986767769,-1.14955416217485,-0.539961411450656,1.36633043352894,99.1,99.1,Top 10%
57177698,-1.122,-0.969162618846852,-1.35749986767769,-1.14955416217485,-0.521889411450656,1.36633043352894,99.1,99.1,Top 10%
7275411,-1.122,-0.969162618846852,-1.35749986767769,-1.14955416217485,-0.521889411450656,1.36633043352894,99.1,99.1,Top 10%
1265891,-1.122,-0.969162618846852,-1.35749986767769,-1.14955416217485,-0.521889411450656,1.36633043352894,99.1,99.1,Top 10%
77520542,-1.122,-0.969162618846852,-1.35749986767769,-1.14955416217485,-0.533847411450656,1.36633043352894,99.1,99.1,Top 10%
451453,-1.0711,-0.238429534975858,-0.733299925923347,-0.680943153633068,-0.81328545137865,2.15927980306586,110.34,110.34,Top 10%
6573504,-3.4446,-2.0173012283891,-3.35799989849329,-2.93996704229413,0.454837127352128,3.96385652021187,167.87,167.87,Top 10%
