cid,Iso_smiles,Type
335400,C1=C(N(C(=O)C2=C1N(C=N2)C3C(C(C(O3)CO)O)O)N)N,Adenosine
338571,CC1(OC2C(OC(C2O1)N3C=NC4=C(N=CN=C43)N)C=NO)C,Adenosine
345462,C1=CN=CC2=C1N=CN2C3C(C(C(O3)CO)O)O,Adenosine
345785,CCSC1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)N,Adenosine
350834,CC(C1C(C(C(O1)N2C=NC3=C2N=CN=C3Cl)O)O)O,Adenosine
354916,C1=C(OC(C1O)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
355280,C1=C(C(C(C1N2C3=NC=NC(=C3N=N2)N)O)O)CO,Adenosine
356732,C[S+](C)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Adenosine
356796,C1C(C(C(C1N2C3=NC=NC(=C3N=N2)N)N=[N+]=[N-])O)CO,Adenosine
357072,C1CC(CC1CO)N2C=NC3=C(N=CN=C32)N,Adenosine
358197,C1C(C(OC1CO)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
358367,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)CO)N,Adenosine
359064,C1CC(OC1CO)N2C=NC3=C(N=C(N=C32)Cl)N,Adenosine
360644,C1=CC(C(C1N2C=NC3=C(N=CN=C32)N)O)(CO)O,Adenosine
360646,CC1(C(OC(C1O)N2C=NC3=C(N=CN=C32)N)CO)O,Adenosine
361921,CNC1=C2C(=NC=N1)N(C=N2)C3C(CC(O3)CO)F,Adenosine
365913,C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)C(=O)NN=C2N)I,Adenosine
365914,C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)C(=O)NN=C2N)Br,Adenosine
366988,CC1(CC(C(O1)N2C=NC3=C(N=CN=C32)N)O)CO,Adenosine
370629,C1CCC(C(C1)N2C=NC3=C(N=CN=C32)N)O,Adenosine
371485,C1CCC(CC(C1)N2C=NC3=C(N=CN=C32)N)O,Adenosine
373953,C1C(CC(C1CO)CO)N2C=NC3=C(N=CN=C32)N,Adenosine
374904,COC1CC(OC1CO)N2C=NC3=C(N=CN=C32)N,Adenosine
375477,CCNC1=C2C(=NC=N1)N(C=N2)C3C(CC(O3)CO)F,Adenosine
387072,C1CC(C=CC1CO)N2C=NC3=C(N=CN=C32)N,Adenosine
387981,CC1C(C(C(O1)N2C=NC3=C(N=C(N=C32)Cl)N)(C)O)O,Adenosine
391259,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)(CO)C(F)(F)F)O,Adenosine
391266,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@H](C3(F)F)CO)CO)N,Adenosine
391363,CC1(C(CC(O1)N2C=NC3=CN=CN=C32)O)CO,Adenosine
393623,C1CC(OCC1N2C=NC3=C(N=CN=C32)N)CO,Adenosine
419564,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=O)NO,Adenosine
424081,CCOC(=O)C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Adenosine
432973,C1=C(C2=C(N1C3C(C(C(O3)CO)O)O)N=CN(C2=N)N)C#N,Adenosine
438430,C1=[N+](C2=C(N1CCO)C(=O)NC(N2)N)C3C(C(C(O3)CO)O)O,Adenosine
444146,C1N=C2[C@@H](N=CN=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O,Adenosine
446048,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H](C(O3)COP(=O)(O)O)O)O)N,Adenosine
446658,C[N+]1=C(C2=NNC(=C2N=C1)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Adenosine
446824,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H](C(=O)[C@H](O3)CO)O)N,Adenosine
446941,C1NC2=C(N=CN=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Adenosine
447722,CC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)[C@H](C)O)O)O,Adenosine
447724,CC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)[C@@H](C)O)O)O,Adenosine
449044,C[C@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,Adenosine
449584,C1NC2=C(N=CN=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)OP(=O)(O)O)N,Adenosine
449599,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)OP(=O)(O)O)O,Adenosine
451527,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@H](O3)CO)CN=[N+]=[N-])N,Adenosine
451554,C1[C@@H]([C@H](O[C@H]1N2C=CC3=CN=CN=C32)CO)N,Adenosine
451873,C1[C@H](O[C@H]([C@H]1Cl)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
451908,C1[C@@H]([C@H]([C@@H]([C@@H]1N2C=NC3=C(N=CN=C32)N)O)O)CCl,Adenosine
451911,C1[C@@H]([C@@H]([C@H]([C@@H]1N2C=NC3=C(N=CN=C32)N)O)O)CO,Adenosine
451914,C1[C@H](C[C@H]([C@@H]1N=[N+]=[N-])N2C=NC3=C(N=CN=C32)N)CO,Adenosine
451960,C1=C[C@@H](O[C@@H]1CO)N2C=CC3=C(N=CN=C32)N,Adenosine
451961,C1CC(=C[C@H]1N2C=NC3=C(N=CN=C32)N)CO,Adenosine
452081,C1[C@H](O[C@H]([C@H]1F)N2C=NC3=C(N=C(N=C32)N)N)CO,Adenosine
452498,C1=C(NC(=O)C2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,Adenosine
453081,C1[C@H](O[C@H]([C@H]1F)N2C=NC3=C2N=CN(C3=N)O)CO,Adenosine
453193,CC1(O[C@@H]2[C@H](O1)[C@@](O[C@H]2N3C=NC4=C(N=CN=C43)N)(CI)F)C,Adenosine
453194,CC1(O[C@@H]2[C@H](O1)[C@](O[C@H]2N3C=NC4=C(N=CN=C43)N)(CI)F)C,Adenosine
453548,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@H]([C@@H](O3)CO)O)O)N,Adenosine
453689,C1[C@H](O[C@H]([C@H]1F)N2C=NC3=C(N=C(N=C32)F)N)CO,Adenosine
453864,C1C2C1[C@@H](O[C@@H]2CO)N3C=NC4=C(N=CN=C43)N,Adenosine
454531,CNC1=C2C(=NC=N1)N(C=N2)[C@@H]3O[C@H](CS3)CO,Adenosine
454870,CC1(O[C@@H]2[C@H](O[C@H]([C@@H]2O1)N3C=NC4=C(N=CN=C43)N)CI)C,Adenosine
459942,C1[C@@H]([C@H]([C@H]([C@@H]1N2C3=NC(=NC(=C3N=N2)N)N)O)O)CO,Adenosine
461537,C1[C@@H]([C@H](O[C@H]1N2C=NC3=CN=CN=C32)CO)N=[N+]=[N-],Adenosine
461652,C[C@]1(C[C@@H](OC1)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
461854,C1=C(C(OC1CO)N2C=NC3=C(N=CN=C32)N)F,Adenosine
464390,CNC1=C2C(=NC=C1)N(C=N2)[C@H]3C[C@@H]([C@H](O3)CO)O,Adenosine
464392,C1CC1NC2=C3C(=NC=C2)N(C=N3)[C@H]4C[C@@H]([C@H](O4)CO)O,Adenosine
464404,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C(C=CN=C32)N,Adenosine
464406,CNC1=C2C(=NC=C1)N(C=N2)[C@H]3CC[C@H](O3)CO,Adenosine
466385,C1[C@@H](O[C@H](C1(F)F)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
466409,C1[C@@H](O[C@H](C1F)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
466426,CNC1=C2C(=NC=N1)N(C=N2)[C@@H]3[C@@H]([C@H]([C@@H](O3)CO)O)F,Adenosine
469792,C1[C@H](OC[C@]1(CO)N=[N+]=[N-])N2C=NC3=C(N=CN=C32)N,Adenosine
469794,C1[C@@H](OC[C@]1(CO)N)N2C=NC3=C(N=CN=C32)N,Adenosine
470796,COC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@](O3)(CO)C(F)(F)F)O)O,Adenosine
472634,CO[C@H]1C[C@H](C=C1)N2C=NC3=C(N=CN=C32)N,Adenosine
472814,C1=C(N(C2=NC=NC(=C21)N)C3[C@@H]([C@@H]([C@H](O3)CO)O)O)Br,Adenosine
477849,C[C@]1([C@H](C[C@@H](O1)N2C=NC3=CN=CN=C32)O)CO,Adenosine
477853,C[C@]1(CC[C@@H](O1)N2C=NC3=C(N=CN=C32)N)CO,Adenosine
481081,C1=C([C@H]([C@@H]([C@@H]1N2C=NC3=C(N=CN=C32)N)O)O)CF,Adenosine
481082,C1=C([C@H]([C@@H]([C@@H]1N2C=NC3=C(N=CN=C32)N)O)O)CN,Adenosine
482505,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](S3)CO)O)O)N,Adenosine
482510,C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C(N=CN=C32)N,Adenosine
484807,CC1=NC2=C(N=CN=C2N1[C@H]3[C@@H]([C@@H](C(O3)(CO)C#C)O)O)N,Adenosine
484808,C#CC1([C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)CO,Adenosine
486177,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]4[C@@H]([C@H](O3)CO)OC(O4)P(=O)(O)O)N,Adenosine
488924,CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@H](C[C@H](O3)CO)N=[N+]=[N-],Adenosine
488949,C1C[C@@H](O[C@H]1CO)N2C=NC3=C(N=CN=C32)N,Adenosine
490353,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H](C(O3)C=CF)O)O)N,Adenosine
490392,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C(=O)NNC(=O)N2,Adenosine
490438,CS[C@H]1C[C@H]([C@@H]([C@@H]1O)O)N2C=NC3=C(N=CN=C32)N,Adenosine
490440,C1[C@H]([C@@H]([C@@H]([C@H]1S)O)O)N2C=NC3=C(N=CN=C32)N,Adenosine
490445,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=NC3=C(N=CN=C32)N)O)O)CN,Adenosine
490621,C1=C2C(=C(N=C1F)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
490622,CNC1=C2C(=CC(=N1)F)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
490623,C1=C2C(=C(N=C1F)N)N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O,Adenosine
490625,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C(=C(N=C2N)F)F,Adenosine
490626,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C(=NC(=C2F)F)N,Adenosine
490627,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C(=C(N=C2N)F)Cl,Adenosine
490628,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C(=NC(=C2Cl)F)N,Adenosine
491674,C1C[C@@H](O[C@H]1CO)N2C=NC3=C(N=C(N=C32)Cl)N,Adenosine
492116,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)S)O)O)N,Adenosine
492117,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@H]([C@H]([C@@H](O3)S)O)O)N,Adenosine
492555,CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2C(=O)NNC3=O)CO)O,Adenosine
492556,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C(=O)NNC2=O,Adenosine
492559,C1[C@H]([C@H]([C@@H](O1)N2C3=CC(=C(C=C3N=C2Cl)Cl)Cl)O)O,Adenosine
493016,C1[C@@H](C2CC2[C@@H]1N3C=NC4=C(N=CN=C43)N)CO,Adenosine
493223,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H](C(O3)C#CI)O)O)N,Adenosine
