ID,Hydrogel-forming ability,Chemdraw_smiles,Canonical_smiles
Wang_2022_e,1,NC1=NC(N)=C(N=CN2[C@@H]3O[C@@H]([C@H]([C@H]3F)O)CO)C2=N1,Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3F)c2n1
Park_2003_1,1,O=C1NC(C(C2=CN(N=N2)CC3=CC=CC=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1cn(Cc2ccccc2)nn1
Park_2003_2,1,O=C1NC(C(C2=CN(N=N2)CC3=C(C)C=CC=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,Cc1ccccc1Cn1cc(-c2cn([C@H]3C[C@H](O)[C@@H](CO)O3)c(=O)[nH]c2=O)nn1
Park_2003_3,1,O=C1NC(C(C2=CN(N=N2)CC3=CC=CC(C)=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,Cc1cccc(Cn2cc(-c3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c(=O)[nH]c3=O)nn2)c1
Park_2003_4,1,O=C1NC(C(C2=CN(N=N2)CC3=CC=C(C)C=C3)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,Cc1ccc(Cn2cc(-c3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c(=O)[nH]c3=O)nn2)cc1
Park_2003_5,1,O=C1NC(C(C2=CN(CC3=C(CC)C=CC=C3)N=N2)=CN1[C@H]4C[C@@H]([C@H](O4)CO)O)=O,CCc1ccccc1Cn1cc(-c2cn([C@H]3C[C@H](O)[C@@H](CO)O3)c(=O)[nH]c2=O)nn1
Park_2003_6,1,O=C1NC(C(C2=CN(CC3=CC=C(C=C3)CC)N=N2)=CN1[C@H]4C[C@H](O)[C@@H](CO)O4)=O,CCc1ccc(Cn2cc(-c3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c(=O)[nH]c3=O)nn2)cc1
Park_2003_7,1,O=C1NC(N(C=C1C2=CN(N=N2)CC3=CC=C(CCCC)C=C3)[C@H]4C[C@H](O)[C@@H](CO)O4)=O,CCCCc1ccc(Cn2cc(-c3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c(=O)[nH]c3=O)nn2)cc1
Park_2007_2a,1,O=C(C(C1=CN(CC2=CC=CC=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1-c1cn(Cc2ccccc2)nn1
Park_2007_2b,1,O=C(C(C1=CN(CC2=CC=C(C)C=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O,Cc1ccc(Cn2cc(-c3cn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c(=O)[nH]c3=O)nn2)cc1
Park_2007_2c,1,O=C(C(C1=CN(CC2=CC=C(CC)C=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O,CCc1ccc(Cn2cc(-c3cn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c(=O)[nH]c3=O)nn2)cc1
Park_2007_2d,1,O=C(C(C1=CN(CC2=CC=C(CCCC)C=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O,CCCCc1ccc(Cn2cc(-c3cn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c(=O)[nH]c3=O)nn2)cc1
Skilling_2018_5a,0,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCCCCCC)=O)=N1,CCCCCCOC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
Skilling_2018_5b,0,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCCCC)=O)=N1,CCCCOC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
Skilling_2018_5c,0,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCC(C)C)=O)=N1,CC(C)COC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
Skilling_2018_6a,0,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCCCCCCCC)=O)=N1,CCCCCCCCCCCCCCNC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
Skilling_2018_6b,0,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCCCCCC)=O)=N1,CCCCCCCCCCCCNC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
Skilling_2018_6c,0,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCC)=O)=N1,CCCCCCCCNC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
Skilling_2018_6d,0,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCC)=O)=N1,CCCCCCNC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
Skilling_2018_6e,0,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCC)=O)=N1,CCCCNC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
Nuthanakanti_2020_3a,0,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2C)C(NC2=O)=O)COC(CCCCCCCCCCC)=O)O,CCCCCCCCCCCC(=O)OC[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
Nuthanakanti_2020_3b,1,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2C)C(NC2=O)=O)COC(CCCCCCCCCCCCC)=O)O,CCCCCCCCCCCCCC(=O)OC[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
Nuthanakanti_2020_3c,1,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=C(C)C2=O,CCCCCCCCCCCCCCCC(=O)OC[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
Nuthanakanti_2020_4a,0,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=CC2=O,CCCCCCCCCCCC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O
Nuthanakanti_2020_4b,1,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=CC2=O,CCCCCCCCCCCCCC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O
Nuthanakanti_2020_4c,1,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2)C(NC2=O)=O)COC(CCCCCCCCCCCCCCC)=O)O,CCCCCCCCCCCCCCCC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O
