ID,MATS3p,SM10_AEA(dm),GATS7s,F07[N-O],VE1sign_Dz(v),VE3sign_D/Dt,P_VSA_charge_4,CATS2D_09_DA,B09[O-O],CATS2D_06_DL,SpMAD_EA(ri),SM5_X,P_VSA_charge_7,CATS2D_04_AA,CATS2D_05_DL,H-052,CATS2D_09_AA,F05[N-N],SpDiam_AEA(ed),VE1sign_B(p),MATS3m,F10[O-O],P_VSA_LogP_5,Eig04_AEA(bo),nN(CO)2,CATS2D_03_DL,s2_numRotBonds,P_VSA_LogP_4,Mv,IC1,MATS2m,MATS2p,GATS6i,P_VSA_charge_2,Eig03_AEA(ed),CATS2D_05_DA,GATS2p,C-016,s2_pathLength,GATS8i
Zhao_2017_5,0.3052227776767597,0.3052554300710746,0.8414829627938576,0.0,0.3211665095590476,0.5398017834983104,0.359388883796882,0.6000000000000001,1.0,1.0,0.8355906513227485,0.3970965979805512,0.20621117144719892,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.18160150157943278,0.9919941847248313,0.46188076853485527,0.0,0.3523452879044773,0.535899766693535,0.0,1.0,0.0,0.0,0.5926977696372075,0.8381287121523155,0.31457443362362647,0.6557655945636329,0.31414246536695245,0.14947977188128425,0.542960348188676,0.0,0.41128227896992575,1.0,0.1515151515151527,0.5890540556513055
Zhao_2017_6,0.3493504239519811,0.3052554300710746,0.7264020083523488,0.0,0.345466081790135,0.5398017834983183,0.359388883796882,0.6000000000000001,1.0,1.0,0.8362575198810447,0.39709659798054475,0.20621117144719892,0.4285714285714285,0.3333333333333333,0.0,0.14285714285714285,0.0,0.18160150157943278,0.8268418263211459,0.4466805477368616,0.0,0.33536479210185216,0.5109410917883053,0.0,0.5,0.0,0.017404196939945604,0.5926977696372075,0.8381287121523155,0.30942814203469926,0.6075012726844853,0.6009564317387248,0.3581694607746371,0.5429603481886831,0.0,0.4409536418029947,0.0,0.1515151515151527,0.5890540556513055
Wang_2022_a,0.3107826410925712,0.3905164945849937,0.2925747748996297,0.6666666666666666,0.3424395694821347,0.5082320846714422,0.7187777675937619,0.6000000000000001,0.0,0.0,0.5691962735152813,0.31303140900263604,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.2,0.2429666025366184,0.48202493813007696,0.6164871636607717,0.0,0.05603563614866394,0.46825147347439877,0.0,0.0,0.14285714285714285,0.32944131789495595,0.5639537024188179,0.644698606409277,0.3474974706242961,0.7494801786839342,0.14835612335386994,0.01576147254530547,0.5877000714043152,0.6666666666666666,0.4411301964096639,0.0,0.09090909090909083,0.6730851104690336
Wang_2022_b,0.36538482946557954,0.3052554300710746,0.6257458501061597,0.16666666666666666,0.4109961068372417,0.5398017834983183,0.7187777675937619,0.6000000000000001,0.0,0.5,0.5655762782871001,0.39709659798054475,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.2,0.18160150157943855,0.5672765732461622,0.5139321097130968,0.0,0.05603563614866394,0.4679817164237199,0.0,0.0,0.0,0.32944131789495595,0.5379813961037732,0.6733671089726383,0.44083329865136817,0.7495822873587776,0.27833721974325343,0.01576147254530547,0.5429603481886689,0.16666666666666666,0.37886898956716575,0.0,0.1515151515151527,0.7173072459163807
Wang_2022_c,0.3793184393230821,0.3905164945849937,0.26378639122284575,0.16666666666666666,0.3472069188974572,0.5082320846714422,0.7187777675937619,0.6000000000000001,0.0,0.0,0.5155701625397242,0.31303140900263604,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.2,0.2429666025366184,0.47506915681976447,0.6044084848696272,0.0,0.05603563614866394,0.46825147347439877,0.0,0.0,0.0,0.32944131789495595,0.643478307448671,0.7586664450850136,0.29849290623260505,0.7371784935730964,0.41024773530398395,0.01576147254530547,0.5877000714043152,0.16666666666666666,0.3860860601026461,0.0,0.0,0.8007219721885188
Wang_2022_d,0.3107826410925712,0.3905164945849937,0.2925747748996297,0.6666666666666666,0.3424395694821347,0.5082320846714422,0.7187777675937619,0.6000000000000001,0.0,0.0,0.5691962735152813,0.31303140900263604,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.2,0.2429666025366184,0.48202493813007696,0.6164871636607717,0.0,0.05603563614866394,0.46825147347439877,0.0,0.0,0.14285714285714285,0.32944131789495595,0.5639537024188179,0.644698606409277,0.3474974706242961,0.7494801786839342,0.14835612335386994,0.01576147254530547,0.5877000714043152,0.6666666666666666,0.4411301964096639,0.0,0.09090909090909083,0.6730851104690336
Wang_2022_e,0.3793184393230821,0.3905164945849937,0.26378639122284575,0.16666666666666666,0.3472069188974572,0.5082320846714422,0.7187777675937619,0.6000000000000001,0.0,0.0,0.5155701625397242,0.31303140900263604,0.0,0.4285714285714285,0.0,0.0,0.14285714285714285,0.2,0.2429666025366184,0.47506915681976447,0.6044084848696272,0.0,0.05603563614866394,0.46825147347439877,0.0,0.0,0.0,0.32944131789495595,0.643478307448671,0.7586664450850136,0.29849290623260505,0.7371784935730964,0.41024773530398395,0.01576147254530547,0.5877000714043152,0.16666666666666666,0.3860860601026461,0.0,0.0,0.8007219721885188
Park_2003_1,0.14568496683137083,0.1422623564623624,0.9982991063266093,0.6666666666666666,0.10528450132284053,0.20880980401398375,0.0,0.8,1.0,0.25,0.8958408921122505,0.5191761241608365,0.06932080912479349,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.23215643849443568,0.8995535655192954,0.43455326128795907,0.0,0.15112641264336657,0.7762426786839614,1.0,0.0,0.0,0.44467506222929637,0.7974256434763802,0.8720129277923969,0.16644519071724898,0.5521931907652627,0.687956182790785,0.38409962528465624,0.6460431930764496,0.33333333333333337,0.32323507870426704,0.0,0.1515151515151527,0.9405855583561182
Park_2003_2,0.14765993841299868,0.14232989659993533,0.9473607216028022,0.6666666666666666,0.13474255132458193,0.24069936852681972,0.0,0.8,1.0,0.25,0.9686305373562103,0.5191761241608334,0.33068553797706945,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.16629899050855634,0.880193258747586,0.3954816889442006,0.0,0.19527570173019193,0.8265844916701761,1.0,0.0,0.0,0.44467506222929637,0.7226530100448638,0.8727135272418218,0.36501034955397677,0.7597191933046709,0.7090010294388112,0.38409962528465624,0.7033319061654639,0.33333333333333337,0.21389249929359577,0.0,0.1515151515151527,0.9296571004758418
Park_2003_3,0.05922650812330588,0.14226623746226075,1.0,0.6666666666666666,0.10823090246662442,0.047129367707336334,0.0,0.8,1.0,0.25,0.9572233801837395,0.5191761241608143,0.26136472885227463,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.09069106686344286,0.9193861612377199,0.3325029725187588,0.0,0.19527570173019193,0.8256113529001556,1.0,0.0,0.0,0.44467506222929637,0.7226530100448638,0.8727135272418218,0.36501034955397677,0.7597191933046705,0.4153601026358271,0.38409962528465624,0.6460942389583124,0.33333333333333337,0.21389249929359577,0.0,0.1515151515151527,0.8465528869469623
Park_2003_4,0.05922650812330588,0.1422627952997848,0.9097956209026645,0.6666666666666666,0.07963966465809863,0.0,0.0,0.8,1.0,0.25,0.9667216577468203,0.5191761241608365,0.26136472885227463,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.07204305187135995,0.8869638100127277,0.3325029725187588,0.0,0.19527570173019193,0.8250253131746996,1.0,0.0,0.0,0.44467506222929637,0.7226530100448638,0.8727135272418218,0.3650103495539771,0.7597191933046705,1.0,0.38409962528465624,0.646054043813586,0.33333333333333337,0.21389249929359577,0.0,0.1515151515151527,1.0
Park_2003_5,0.2969981255180954,0.14235664166483897,0.905715809035285,0.6666666666666666,0.1383883750918933,0.22093139022496733,0.0,0.8,1.0,0.25,0.8957208239114554,0.5191761241608365,0.19379517565466356,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.1703398150559643,0.891288195612143,0.5623018321907683,0.0,0.19527570173019193,0.8293404502593447,1.0,0.0,0.0,0.44467506222929637,0.656345203039554,0.8568605228718926,0.3653990118928808,0.6982742390082363,0.47687964774950187,0.38409962528465624,0.771224046264523,0.33333333333333337,0.2759954180671156,0.0,0.1515151515151527,0.8392843607254612
Park_2003_6,0.21513482485745528,0.14226289262344682,0.9408599242934956,0.6666666666666666,0.0382709507086037,0.3338925224420358,0.0,0.8,1.0,0.25,0.8948962433861638,0.5191761241608301,0.19379517565466356,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.08853207402583729,0.8930450018568321,0.503737125480843,0.0,0.19527570173019193,0.832893824593917,1.0,0.0,0.0,0.44467506222929637,0.656345203039554,0.8568605228718926,0.3653990118928808,0.6982742390082363,0.8332137849909524,0.38409962528465624,0.6460584683925541,0.33333333333333337,0.2759954180671156,0.0,0.1515151515151527,0.8721926361408538
Park_2003_7,0.25881570664245923,0.14226290206237113,0.7874352892805649,0.6666666666666666,0.061413447907934265,0.5635154484240554,0.0,0.8,1.0,0.25,0.8141027384016652,0.5191761241608429,0.24894873305974016,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.2676617984367029,0.8909047756104476,0.597825650957857,0.0,0.19527570173019193,0.8343106960223157,1.0,0.0,0.0,0.44467506222929637,0.5439590894712341,0.7698424623561566,0.3550253813038298,0.5965135300834166,0.9635788539561303,0.38409962528465624,0.6460589316378629,0.33333333333333337,0.38010537020822444,0.0,0.1515151515151527,0.9337422874484358
Park_2007_2a,0.11586101951672362,0.2948174552249272,0.7040741237047214,0.8333333333333334,0.04380788129858941,0.0972690618417662,0.0,0.8,1.0,0.25,0.9191558469772776,0.438311737001153,0.06932080912479349,0.7142857142857143,0.3333333333333333,0.0,0.5714285714285714,0.8,0.3504332208819405,0.7643083366007279,0.5137478474095578,0.0,0.15112641264336657,0.8055546130985527,1.0,0.0,0.14285714285714285,0.44467506222929637,0.8104176052959486,0.8601892544623633,0.10493304704101428,0.5522715485844666,0.5573513405432338,0.38409962528465624,0.7375885666726152,0.8333333333333334,0.356998213749947,0.0,0.09090909090909083,0.9311263339850824
