cid,isosmiles,Type,MLOGP,ALOGP,ESOL,Canonical_smis
276156,CC1C(C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)O,Adenosine,-0.054132118,-1.6426,-1.055332324,CC1OC(n2cnc3c(N)ncnc32)C(O)C(O)C1O
276394,CC1=CC2=C(C=C1C)N(C(=N2)N)C3C(C(C(O3)CO)O)O,Adenosine,0.219628996,0.6742,-1.951358604,Cc1cc2nc(N)n(C3OC(CO)C(O)C3O)c2cc1C
276398,CC1=CC2=C(C=C1C)N(C(=N2)OC)C3C(C(C(O3)CO)O)O,Adenosine,0.47576619,1.4044,-2.260692833,COc1nc2cc(C)c(C)cc2n1C1OC(CO)C(O)C1O
277139,C1=NC2=C(N=NN=C2N1C3C(C(C(O3)CO)O)O)N,Adenosine,-0.567808085,-2.3268,-0.379319803,Nc1nnnc2c1ncn2C1OC(CO)C(O)C1O
278402,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)CO)O)N,Adenosine,-0.054132118,-1.9924,-0.741817057,Nc1ncnc2c1ncn2C1OC(CO)C(CO)C1O
278404,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)C(CO)O)CO)O)N,Adenosine,-0.503916081,-2.5031,-0.436128154,Nc1ncnc2c1ncn2C1OC(C(O)CO)C(CO)C1O
278758,C1=CC(OC(C1O)CO)N2C=NC3=C(N=CN=C32)N,Adenosine,0.598968449,-1.0416,-1.333133108,Nc1ncnc2c1ncn2C1C=CC(O)C(CO)O1
278931,CNC1C(OC(C1O)N2C=NC3=C(N=CN=C32)N)CO,Adenosine,-0.054132118,-1.8779,-0.757682395,CNC1C(CO)OC(n2cnc3c(N)ncnc32)C1O
280444,CC1C(C(C(O1)N2C=NC3=C(N=C(N=C32)F)N)O)O,Adenosine,0.808531422,-0.5632,-1.621545739,CC1OC(n2cnc3c(N)nc(F)nc32)C(O)C1O
282696,CC1=C(N=C2C(=N1)N=CN2C3C(C(C(O3)CO)O)O)C,Adenosine,-0.11408343,-1.5743,-1.100797368,Cc1nc2ncn(C3OC(CO)C(O)C3O)c2nc1C
282734,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)NN)C#N,Adenosine,-0.321823532,-1.5057,-0.911089575,N#Cc1cn(C2OC(CO)C(O)C2O)c2ncnc(NN)c12
286481,COC(=O)C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Adenosine,-0.058864202,-1.5602,-0.900815575,COC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O
287101,CC1(OC2C(O1)C(OC2C(=O)NO)N3C=NC4=C(N=CN=C43)N)C,Adenosine,0.582450813,-2.0351,-1.526509373,CC1(C)OC2C(C(=O)NO)OC(n3cnc4c(N)ncnc43)C2O1
