ID,B09[O-O],CATS2D_06_DL,SpMAD_EA(ri),SM5_X,P_VSA_charge_7,CATS2D_04_AA,CATS2D_05_DL,H-052,CATS2D_09_AA,F05[N-N],SpDiam_AEA(ed),MATS3m,P_VSA_LogP_5,Eig04_AEA(bo),nN(CO)2,CATS2D_03_DL,s2_numRotBonds,P_VSA_LogP_4,Mv,IC1,MATS2m,MATS2p,GATS6i,P_VSA_charge_2,Eig03_AEA(ed),CATS2D_05_DA,GATS2p,C-016,s2_pathLength,GATS8i
Zhao_2016_6,1.0,0.0,0.657447741745699,0.3130314090026201,0.0,0.5714285714285714,0.0,0.0,0.1428571428571428,0.2,0.2429666025366241,0.5735746459841297,0.3294216185709333,0.5116333587838695,0.0,0.0,0.0,0.289629053740691,0.7350406745340301,0.9175424210505554,0.1724285569971043,0.6206754207286516,0.5754671426663132,0.3739309333199431,0.5877000714043232,0.1666666666666666,0.4268977698442429,0.0,0.0,0.6599438920553247
Zhao_2017_2,1.0,0.5,0.8340123976888485,0.3970965979805512,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.0,0.1816015015794327,0.5754667996490013,0.2648957345209564,0.535899766693535,0.0,0.0,0.0,0.0201869719326487,0.6619606652705325,0.7776152947643644,0.4000447314633115,0.3391983636062112,0.2923713044592801,0.1494797718812842,0.542960348188676,0.1666666666666666,0.710338931934063,0.0,0.1515151515151527,0.7064355607521702
Zhao_2017_3,1.0,0.5,0.8348030641612123,0.3970965979805447,0.0,0.7142857142857143,0.0,0.0,0.1428571428571428,0.4,0.1816015015794327,0.5592972970274186,0.3277235689906708,0.5109410917883053,0.0,0.0,0.0,0.2605450588842882,0.6619606652705325,0.7776152947643644,0.3945636550328473,0.2813625060874042,0.1197921314234342,0.3581694607746371,0.5429603481886831,0.5,0.7458228842733514,0.0,0.1515151515151527,0.7064355607521702
Zhao_2017_5,1.0,1.0,0.8355906513227485,0.3970965979805512,0.2062111714471989,0.2857142857142857,0.0,0.0,0.1428571428571428,0.0,0.1816015015794327,0.4618807685348552,0.3523452879044773,0.535899766693535,0.0,1.0,0.0,0.0,0.5926977696372075,0.8381287121523155,0.3145744336236263,0.655765594563633,0.3141424653669524,0.1494797718812842,0.542960348188676,0.0,0.4112822789699257,1.0,0.1515151515151527,0.5890540556513055
Zhao_2017_6,1.0,1.0,0.8362575198810447,0.3970965979805447,0.2062111714471989,0.4285714285714285,0.3333333333333333,0.0,0.1428571428571428,0.0,0.1816015015794327,0.4466805477368616,0.3353647921018521,0.5109410917883053,0.0,0.5,0.0,0.0174041969399456,0.5926977696372075,0.8381287121523155,0.3094281420346991,0.6075012726844853,0.6009564317387248,0.3581694607746371,0.5429603481886831,0.0,0.4409536418029947,0.0,0.1515151515151527,0.5890540556513055
Wang_2022_a,0.0,0.0,0.5691962735152813,0.313031409002636,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.2,0.2429666025366184,0.6164871636607717,0.0560356361486639,0.4682514734743987,0.0,0.0,0.1428571428571428,0.3294413178949559,0.5639537024188179,0.644698606409277,0.3474974706242961,0.7494801786839342,0.1483561233538699,0.0157614725453054,0.5877000714043152,0.6666666666666666,0.4411301964096639,0.0,0.0909090909090908,0.6730851104690336
Wang_2022_b,0.0,0.5,0.5655762782871001,0.3970965979805447,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.2,0.1816015015794385,0.5139321097130968,0.0560356361486639,0.4679817164237199,0.0,0.0,0.0,0.3294413178949559,0.5379813961037732,0.6733671089726383,0.4408332986513681,0.7495822873587776,0.2783372197432534,0.0157614725453054,0.5429603481886689,0.1666666666666666,0.3788689895671657,0.0,0.1515151515151527,0.7173072459163807
Wang_2022_c,0.0,0.0,0.5155701625397242,0.313031409002636,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.2,0.2429666025366184,0.6044084848696271,0.0560356361486639,0.4682514734743987,0.0,0.0,0.0,0.3294413178949559,0.643478307448671,0.7586664450850136,0.2984929062326052,0.7371784935730964,0.4102477353039839,0.0157614725453054,0.5877000714043152,0.1666666666666666,0.3860860601026461,0.0,0.0,0.8007219721885188
Wang_2022_d,0.0,0.0,0.5691962735152813,0.313031409002636,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.2,0.2429666025366184,0.6164871636607717,0.0560356361486639,0.4682514734743987,0.0,0.0,0.1428571428571428,0.3294413178949559,0.5639537024188179,0.644698606409277,0.3474974706242961,0.7494801786839342,0.1483561233538699,0.0157614725453054,0.5877000714043152,0.6666666666666666,0.4411301964096639,0.0,0.0909090909090908,0.6730851104690336
Wang_2022_e,0.0,0.0,0.5155701625397242,0.313031409002636,0.0,0.4285714285714285,0.0,0.0,0.1428571428571428,0.2,0.2429666025366184,0.6044084848696271,0.0560356361486639,0.4682514734743987,0.0,0.0,0.0,0.3294413178949559,0.643478307448671,0.7586664450850136,0.2984929062326052,0.7371784935730964,0.4102477353039839,0.0157614725453054,0.5877000714043152,0.1666666666666666,0.3860860601026461,0.0,0.0,0.8007219721885188
Park_2003_1,1.0,0.25,0.8958408921122505,0.5191761241608365,0.0693208091247934,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.2321564384944356,0.434553261287959,0.1511264126433665,0.7762426786839614,1.0,0.0,0.0,0.4446750622292963,0.7974256434763802,0.8720129277923969,0.1664451907172489,0.5521931907652627,0.687956182790785,0.3840996252846562,0.6460431930764496,0.3333333333333333,0.323235078704267,0.0,0.1515151515151527,0.9405855583561182
Park_2003_2,1.0,0.25,0.9686305373562104,0.5191761241608334,0.3306855379770694,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.1662989905085563,0.3954816889442006,0.1952757017301919,0.8265844916701761,1.0,0.0,0.0,0.4446750622292963,0.7226530100448638,0.8727135272418218,0.3650103495539767,0.7597191933046709,0.7090010294388112,0.3840996252846562,0.7033319061654639,0.3333333333333333,0.2138924992935957,0.0,0.1515151515151527,0.9296571004758418
Park_2003_3,1.0,0.25,0.9572233801837396,0.5191761241608143,0.2613647288522746,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.0906910668634428,0.3325029725187588,0.1952757017301919,0.8256113529001556,1.0,0.0,0.0,0.4446750622292963,0.7226530100448638,0.8727135272418218,0.3650103495539767,0.7597191933046705,0.4153601026358271,0.3840996252846562,0.6460942389583124,0.3333333333333333,0.2138924992935957,0.0,0.1515151515151527,0.8465528869469623
Park_2003_4,1.0,0.25,0.9667216577468204,0.5191761241608365,0.2613647288522746,0.7142857142857143,0.0,0.0,0.5714285714285714,0.8,0.0720430518713599,0.3325029725187588,0.1952757017301919,0.8250253131746996,1.0,0.0,0.0,0.4446750622292963,0.7226530100448638,0.8727135272418218,0.3650103495539771,0.7597191933046705,1.0,0.3840996252846562,0.646054043813586,0.3333333333333333,0.2138924992935957,0.0,0.1515151515151527,1.0
