,MATS3p,SM10_AEA(dm),GATS7s,F07[N-O],VE1sign_Dz(v),VE3sign_D/Dt,P_VSA_charge_4,CATS2D_09_DA,B09[O-O],CATS2D_06_DL,SpMAD_EA(ri),SM5_X,P_VSA_charge_7,CATS2D_04_AA,CATS2D_05_DL,H-052,CATS2D_09_AA,F05[N-N],SpDiam_AEA(ed),VE1sign_B(p),MATS3m,F10[O-O],P_VSA_LogP_5,Eig04_AEA(bo),nN(CO)2,CATS2D_03_DL,s2_numRotBonds,P_VSA_LogP_4,Mv,IC1,MATS2m,MATS2p,GATS6i,P_VSA_charge_2,Eig03_AEA(ed),CATS2D_05_DA,GATS2p,C-016,s2_pathLength,GATS8i
MATS3m,0.4424750565942819,0.42125227094285184,-0.6351974511612308,-0.3924352883529412,0.6202345918337241,0.4054015805645693,0.22526284464373444,-0.6204611222480266,-0.2531353640030544,0.2620685799767045,-0.6109434216239468,-0.6149633835655699,0.19428249548911766,-0.37523136914574157,0.5628267064934221,0.5646186221299863,-0.44499289928419705,-0.5157370849808126,0.7248288506080282,-0.38633028985771517,1.0,0.24808991632327693,0.09847211286013556,-0.32670180173119096,-0.024966516169526987,0.3204512117777722,0.39043846155392903,-0.3334345808524485,-0.6332525593789573,-0.5371166978800669,0.09892763417497191,-0.48326052873777703,-0.27104660815400444,-0.10253763743047027,-0.30448470217677787,0.02786980570981432,0.578438113450605,0.37847751369258315,-0.1920167809267014,-0.3045771253698998
F10[O-O],0.3814120607406712,0.6193302806902896,-0.5223405003408761,-0.22257354561693407,0.45116174569121714,0.3967993285191992,0.5711056145578662,-0.22284447874460894,-0.30012818205650776,0.08029407684203688,-0.403389795785813,-0.5076572293351361,0.2107807790372386,0.07965332990998332,0.3132573049377965,0.5740786251630211,-0.3002364162997132,-0.19874105392993538,0.43451087673077415,-0.18948244672831063,0.24808991632327693,1.0,0.6264351836079618,-0.26379443496639576,-0.32653126888496775,0.15530657922808377,0.6499956192816445,-0.07354446846576361,-0.20440498783054656,-0.22883342806090728,0.4744622267666464,-0.23440055029591114,-0.41739506592415576,0.05670748491736492,-0.1842535793590324,-0.39693707686577456,0.22253524014237158,0.43353618765938934,0.5620070662856099,-0.322440210178154
P_VSA_LogP_5,0.31080418456333775,0.6521873809767988,-0.3442230842089813,-0.21558772501168985,0.211084458796945,0.2600584544190831,0.5697921182898334,-0.07608535989936896,-0.1397810730863069,0.07267984009230348,-0.24503956236986518,-0.29389972595083835,0.10276949881106766,0.10107235394987173,0.1311921731294197,0.313273568838662,-0.310671167751817,-0.1724799811539673,0.31198398287877277,-0.09274719121968178,0.09847211286013556,0.6264351836079618,1.0,-0.06740028092139015,-0.6148624019859794,0.12125907352199226,0.417822909122209,-0.217429904922639,0.09852148025637833,0.10632736409341846,0.3498996547650632,-0.12842393141259212,-0.3498096095775182,-0.08293944347545687,-0.08827367523995903,-0.33015621018685165,0.03675360439060119,0.21182458982070537,0.4044695506336753,-0.3775841384824347
Eig04_AEA(bo),-0.22420909231562428,-0.03136623111966072,0.3023283308996331,0.5390664223803601,-0.4256179562039084,-0.22053480788641625,-0.4741360090945295,0.616247678051625,0.41360009957306076,0.08571645711608389,0.6990086448451702,0.6441828493726975,0.22963938946977294,0.5682104233940494,-0.06234006314454241,-0.2820991178822276,0.7931612961355157,0.6155391870331844,0.044958915570281976,-0.014979578090493446,-0.32670180173119096,-0.26379443496639576,-0.06740028092139015,1.0,0.4260494498953197,-0.0722645618270613,-0.23918533647808324,0.5695991024706645,0.4851311652342127,0.4750413272824991,0.027711845432299844,0.24009663660563416,0.5043404197858633,0.31026192457757606,0.7643588455142653,0.2817192520806812,-0.4919311797880505,-0.6186662596686332,-0.04695121042492526,0.6932355162251084
nN(CO)2,-0.3363136589895106,-0.553641462205951,0.42589939348016626,0.2756377128360974,-0.19091881704577807,-0.04407519044284291,-0.7701388367540369,0.08818795179524383,0.5585834797735868,0.2163444338662974,0.32457015286125357,0.11027220672272271,0.34471320219876406,0.19056543140178756,0.23762452902555944,-0.06777673125938606,0.5821956987041218,0.18010515122304532,-0.052913320435952725,0.2760979815738944,-0.024966516169526987,-0.32653126888496775,-0.6148624019859794,0.4260494498953197,1.0,0.12353824957879005,-0.2092438253611554,0.3067743403717285,-0.1821377234698547,-0.17625048771494253,-0.07783743832312814,-0.11602184202881365,0.5257610500183735,0.6139146943547427,0.24984328068256234,0.24169226630099477,-0.011749342834116593,-0.10628644967247253,-0.13681234106799353,0.3451340518496334
CATS2D_03_DL,0.24640843647740948,0.17997935277470073,-0.17093197845730207,-0.48121676478121445,0.39356573071045065,0.48062695098787855,0.0001692577115942519,-0.39050862100810396,-0.04072510347630987,0.6423669527278942,-0.17898210213780505,-0.37290547577899363,0.4785878726563763,-0.46643322250928737,0.4332792606432854,0.5643186505500244,-0.14741100604587895,-0.43989713855119156,0.3446880297856413,-0.28687288220880436,0.3204512117777722,0.15530657922808377,0.12125907352199226,-0.0722645618270613,0.12353824957879005,1.0,0.0952092952111351,-0.34875475170466047,-0.5076508070653494,-0.408174743592062,0.1953524704306496,-0.336594526466446,-0.13994475923969724,-0.007728372005866117,-0.2020620790117922,-0.3473046385376588,0.3452978768808377,0.2598487705443714,0.22212309423375817,-0.27023286601363367
s2_numRotBonds,0.3142284874395446,0.5832746580517912,-0.5661339027341151,0.023867797540719157,0.29130519072273237,0.26068310207319717,0.39831067264644754,-0.20248682132236046,-0.18471237057297007,-0.06919338185978537,-0.3009252525459298,-0.5203819485327683,0.20224384365037712,-0.002918267085974431,0.45637659147347176,0.5152884867689602,-0.2278646377349381,-0.22388603863807646,0.39075638554979847,-0.2237004363946913,0.39043846155392903,0.6499956192816445,0.417822909122209,-0.23918533647808324,-0.2092438253611554,0.0952092952111351,1.0,-0.19220842481096026,-0.22444734707266104,-0.3875811043465285,0.3033118938904873,-0.08222085492846748,-0.33576530248678366,0.03686378702822249,-0.0009712823720038897,0.031231064742269124,0.10523787529696121,0.31192854960533883,0.23446086167501198,-0.2546929351021927
P_VSA_LogP_4,-0.19497502914695194,-0.07113259395612513,0.17225769331008564,0.619693877397404,-0.24296736352131665,-0.14650547980244039,-0.4571470583143331,0.5429020730875762,0.2259680156704442,-0.23346858398674258,0.4155624449755947,0.48375420533279706,-0.06642981254194226,0.6152620116635894,-0.2052141768556187,-0.41640866115044317,0.7351684146035536,0.5835991778654154,-0.01765440036551439,-0.19781935259806674,-0.3334345808524485,-0.07354446846576361,-0.217429904922639,0.5695991024706645,0.3067743403717285,-0.34875475170466047,-0.19220842481096026,1.0,0.45855402332366524,0.30671232248003116,-0.0451319277304287,0.2551806346638754,0.15728549870315342,0.38023733338847987,0.5253487565490794,0.266938138478991,-0.41690824908089996,-0.4884564345607949,-0.039477960837037446,0.41422710531389795
Mv,-0.2496415156087658,0.026172718549133656,0.2556624295559305,0.5576499155753573,-0.6231342119635,-0.5867322254218483,-0.1256268008601461,0.7240275187178448,0.19832096399599264,-0.41452547122584055,0.6259172048273386,0.686597317321648,-0.22824243693477045,0.5935197834214624,-0.4286867129741448,-0.5004667947933654,0.4249534115063115,0.6422657170654217,-0.34572073808891596,0.03144601392629693,-0.6332525593789573,-0.20440498783054656,0.09852148025637833,0.4851311652342127,-0.1821377234698547,-0.5076508070653494,-0.22444734707266104,0.45855402332366524,1.0,0.7979704815007413,-0.18475471908584942,0.4507840722212655,0.15285278449294412,-0.041319633590200425,0.6084118886256176,0.2223616316326381,-0.7407314288730183,-0.5984119162190605,-0.07868669453262718,0.43970549168100864
IC1,-0.40072447532921807,-0.03279567145991574,0.3043292343084043,0.31404290686061753,-0.6285594531232247,-0.6682353015576026,-0.08618891624721696,0.5870677017412268,0.03375449511072151,-0.31639924555173016,0.6487837210421921,0.7162600587194313,-0.197395697260942,0.5143118455985172,-0.46488149936648687,-0.40663101324411466,0.19446832355168103,0.6701659560079606,-0.25164908116281504,0.1042092911530567,-0.5371166978800669,-0.22883342806090728,0.10632736409341846,0.4750413272824991,-0.17625048771494253,-0.408174743592062,-0.3875811043465285,0.30671232248003116,0.7979704815007413,1.0,-0.24157708582471102,0.42397155895414923,0.2495723641679739,-0.1414763843017231,0.5008559879426069,0.25698638676600083,-0.49908180036503647,-0.45502025515225675,-0.13408861264307428,0.5119407001523547
MATS2m,0.35569175562376754,0.3170514819305799,-0.08801951890574244,-0.03892567377561057,0.3066655487980412,0.2262799590452062,0.41730173495236855,0.08059004897427392,-0.03515798422252953,0.23365868546778384,-0.10720484291924365,-0.1631035269473263,0.31564017860783145,0.14697978231814143,0.09782763045394889,0.36310482278270323,-0.008718966385241366,-0.005400433603657219,0.06514955290777365,-0.04126771191994638,0.09892763417497191,0.4744622267666464,0.3498996547650632,0.027711845432299844,-0.07783743832312814,0.1953524704306496,0.3033118938904873,-0.0451319277304287,-0.18475471908584942,-0.24157708582471102,1.0,0.04184693295770869,-0.07909784523624018,0.04004351812471821,0.001795543471862057,-0.3798083172027116,-0.04365069384687032,0.08697003020791218,0.5751143411064206,0.0031023091245788686
MATS2p,-0.33042953325160124,-0.08352485747328035,0.22451768691731483,0.49697242942570957,-0.35170621284394776,-0.6392169797181098,-0.08626936156837066,0.5455501511724371,0.05625277475604726,-0.5650001881038266,0.49581191781531003,0.5375172380010801,-0.3786329696912335,0.28083286644599625,-0.6359365186045394,-0.41015676912794696,0.254878094887851,0.4641869386878612,-0.43560582052400126,-0.04497358934144502,-0.48326052873777703,-0.23440055029591114,-0.12842393141259212,0.24009663660563416,-0.11602184202881365,-0.336594526466446,-0.08222085492846748,0.2551806346638754,0.4507840722212655,0.42397155895414923,0.04184693295770869,1.0,0.09781168778100253,-0.10311417563616655,0.5009230670892921,0.20600931624582222,-0.693329979676855,-0.5701368646963132,-0.1320181910861303,0.4607348280962401
GATS6i,-0.17895381107520014,-0.46928145168998797,0.4638847666402115,0.29319135134914887,-0.3820175732778858,-0.24442656944808877,-0.4502764341685024,0.3650132144101514,0.38110615827290517,0.11792813875717899,0.3731564783311601,0.41282605883357004,0.32740790750739646,0.24342839571018487,-0.002921877902305918,-0.2067774546829654,0.5075809370945887,0.32133829318514,-0.2488798733647713,0.4188745053323496,-0.27104660815400444,-0.41739506592415576,-0.3498096095775182,0.5043404197858633,0.5257610500183735,-0.13994475923969724,-0.33576530248678366,0.15728549870315342,0.15285278449294412,0.2495723641679739,-0.07909784523624018,0.09781168778100253,1.0,0.2303352582981224,0.34440295576525826,0.08950387391821427,-0.29240276045046676,-0.2077582549699149,-0.12092145187601958,0.5479424492466856
P_VSA_charge_2,-0.04039874552660206,-0.214242555336844,0.20559168799529148,0.3926857317976588,0.05111600593957891,0.029311157078874172,-0.41845744383306643,0.06387599578465296,0.7085647226589988,-0.10151023448378815,0.21743050719224688,-0.1370312197426606,0.06731577035805432,0.30887835532587177,0.13540671088121742,-0.1359622317080131,0.4247778055926558,0.19550819110972345,-0.020563200577989497,0.31362099305028823,-0.10253763743047027,0.05670748491736492,-0.08293944347545687,0.31026192457757606,0.6139146943547427,-0.007728372005866117,0.03686378702822249,0.38023733338847987,-0.041319633590200425,-0.1414763843017231,0.04004351812471821,-0.10311417563616655,0.2303352582981224,1.0,0.3373566965645251,0.29980643379384425,0.033102345516624734,-0.17644145144480616,-0.09275586350831097,0.09536104693201501
