cid,Probability of nongelator,Probability of gelator,rank,%
15926748,0.5347193058588608,0.4652806941411391,1258,0.173
3005948,0.5347093443816242,0.4652906556183757,1259,0.173
490264,0.534668506722646,0.465331493277354,1260,0.174
21140573,0.5346613324905973,0.4653386675094026,1261,0.174
67331935,0.5345351475005901,0.4654648524994099,1262,0.174
191091,0.5345152362282257,0.4654847637717742,1263,0.174
5288063,0.5345079839039193,0.4654920160960806,1264,0.174
122174085,0.5345079839039193,0.4654920160960806,1265,0.174
156587569,0.5344679439883626,0.4655320560116374,1266,0.174
23545530,0.5344565728709327,0.4655434271290672,1267,0.175
5273497,0.53438022873736,0.46561977126264,1268,0.175
14330066,0.5343750634610143,0.4656249365389858,1269,0.175
14330067,0.5343750634610143,0.4656249365389858,1270,0.175
15289165,0.534359502427481,0.4656404975725191,1271,0.175
6602210,0.5343482396891568,0.4656517603108432,1272,0.175
137937484,0.5343105280666438,0.4656894719333562,1273,0.175
14061175,0.5343105280666419,0.4656894719333581,1274,0.176
126231,0.5342930080580457,0.4657069919419543,1275,0.176
473083,0.5342672312350824,0.4657327687649176,1276,0.176
6483431,0.5342293902050117,0.4657706097949883,1277,0.176
138114911,0.5342293902050117,0.4657706097949883,1278,0.176
514803,0.5341958562255559,0.4658041437744441,1279,0.176
453194,0.5341853817490398,0.4658146182509601,1280,0.176
453193,0.5341853817490398,0.4658146182509601,1281,0.177
14410899,0.534138819562495,0.465861180437505,1282,0.177
57113422,0.5340514698924956,0.4659485301075044,1283,0.177
25632117,0.5340514698924956,0.4659485301075044,1284,0.177
65050,0.5340514698924956,0.4659485301075044,1285,0.177
51571861,0.5340514698924956,0.4659485301075044,1286,0.177
92261995,0.5340398456335955,0.4659601543664045,1287,0.177
73545,0.5340398456335955,0.4659601543664045,1288,0.177
54320536,0.5339893589726548,0.4660106410273453,1289,0.178
452040,0.533972248975086,0.4660277510249139,1290,0.178
3005947,0.5339492738501019,0.466050726149898,1291,0.178
53968525,0.5339118657036306,0.4660881342963694,1292,0.178
14862102,0.5339000683467707,0.4660999316532293,1293,0.178
158379,0.5338957832181093,0.4661042167818908,1294,0.178
189165,0.5338305668262313,0.4661694331737687,1295,0.178
3010826,0.5337459987167095,0.4662540012832905,1296,0.179
92273085,0.5337459987167095,0.4662540012832905,1297,0.179
22094552,0.5337275783304494,0.4662724216695506,1298,0.179
18469116,0.5337275783304494,0.4662724216695506,1299,0.179
15867924,0.533689626210321,0.466310373789679,1300,0.179
15609009,0.5336854471115957,0.4663145528884043,1301,0.179
24820718,0.5335457926970407,0.4664542073029593,1302,0.179
476786,0.5335110694729935,0.4664889305270064,1303,0.18
92248971,0.5334896392773698,0.4665103607226301,1304,0.18
121486770,0.533418672615922,0.466581327384078,1305,0.18
10029973,0.5333565916357729,0.4666434083642271,1306,0.18
131880734,0.5333515605014991,0.4666484394985009,1307,0.18
76282776,0.5332967604674548,0.4667032395325451,1308,0.18
121487058,0.5332299528173114,0.4667700471826885,1309,0.18
57349456,0.5331364450599556,0.4668635549400444,1310,0.181
18533908,0.5331172328785524,0.4668827671214476,1311,0.181
121486764,0.5331091638132675,0.4668908361867325,1312,0.181
66793649,0.5330988298041281,0.4669011701958718,1313,0.181
479299,0.5330658707400397,0.4669341292599602,1314,0.181
5271297,0.5330311515467889,0.4669688484532111,1315,0.181
57351337,0.5330261444755133,0.4669738555244866,1316,0.181
155905705,0.5329914435999028,0.4670085564000972,1317,0.181
6531437,0.5329533705072405,0.4670466294927596,1318,0.182
471865,0.5329533705072405,0.4670466294927596,1319,0.182
459942,0.5329121466614828,0.4670878533385172,1320,0.182
44451061,0.5328662187318065,0.4671337812681935,1321,0.182
92229125,0.5328662187318065,0.4671337812681935,1322,0.182
92280929,0.5328000388741709,0.467199961125829,1323,0.182
121487869,0.5327608696813463,0.4672391303186537,1324,0.182
473844,0.5327574497739702,0.4672425502260298,1325,0.183
11778706,0.5327320013188965,0.4672679986811034,1326,0.183
69626224,0.5327320013188965,0.4672679986811034,1327,0.183
92132405,0.5327320013188965,0.4672679986811034,1328,0.183
14408976,0.5327074689160731,0.4672925310839268,1329,0.183
10807167,0.5326759234049299,0.4673240765950701,1330,0.183
10660693,0.5326586608804211,0.4673413391195789,1331,0.183
5272208,0.5326459179144384,0.4673540820855616,1332,0.184
5272207,0.5326459179144384,0.4673540820855616,1333,0.184
135421231,0.5326259020330381,0.4673740979669619,1334,0.184
5271785,0.5325818233496943,0.4674181766503057,1335,0.184
172392,0.5325040437240773,0.4674959562759226,1336,0.184
5276641,0.5325040437240773,0.4674959562759226,1337,0.184
9796412,0.5324852136048268,0.4675147863951731,1338,0.184
5272745,0.5324482546363994,0.4675517453636005,1339,0.185
135538720,0.5324454863755187,0.4675545136244813,1340,0.185
131853596,0.5324230745930335,0.4675769254069665,1341,0.185
10466898,0.5323817567352502,0.4676182432647497,1342,0.185
128557,0.5323651209898923,0.4676348790101077,1343,0.185
452053,0.5322892167411921,0.4677107832588079,1344,0.185
121486930,0.5322892167411921,0.4677107832588079,1345,0.185
484806,0.5322807482114007,0.4677192517885993,1346,0.185
70928815,0.5322768445815669,0.467723155418433,1347,0.186
131872654,0.5321644958942757,0.4678355041057243,1348,0.186
481523,0.5320296251647147,0.4679703748352852,1349,0.186
506143,0.5320096150020142,0.4679903849979858,1350,0.186
72968,0.5320096150020142,0.4679903849979858,1351,0.186
6534307,0.5319419794051182,0.4680580205948818,1352,0.186
507023,0.5319419794051182,0.4680580205948818,1353,0.186
6455271,0.531905921953479,0.468094078046521,1354,0.187
21121842,0.5319051778117119,0.4680948221882881,1355,0.187
9992006,0.5318287344169991,0.4681712655830009,1356,0.187
21853094,0.531759029693879,0.4682409703061209,1357,0.187
14730263,0.5316612674760663,0.4683387325239336,1358,0.187
15934098,0.5315519263195223,0.4684480736804777,1359,0.187
14409040,0.5315504425160362,0.4684495574839637,1360,0.187
469866,0.531528037914053,0.4684719620859469,1361,0.188
10468918,0.5315120316558429,0.468487968344157,1362,0.188
14862108,0.5315050354659788,0.4684949645340212,1363,0.188
5272754,0.531475068550483,0.468524931449517,1364,0.188
101245382,0.5314317232237492,0.4685682767762508,1365,0.188
53854768,0.5314261691421611,0.4685738308578388,1366,0.188
12803302,0.531404099789295,0.4685959002107049,1367,0.188
129395379,0.531404099789295,0.4685959002107049,1368,0.189
12803301,0.531404099789295,0.4685959002107049,1369,0.189
10967359,0.5312967413056502,0.4687032586943498,1370,0.189
490682,0.5312366262298331,0.4687633737701668,1371,0.189
490683,0.5312366262298331,0.4687633737701668,1372,0.189
13831293,0.5312244176774805,0.4687755823225195,1373,0.189
71434113,0.5312114742697475,0.4687885257302525,1374,0.189
135991622,0.5311980056403736,0.4688019943596264,1375,0.189
124528040,0.5311955750083839,0.4688044249916161,1376,0.19
25051804,0.531137222709789,0.468862777290211,1377,0.19
24769759,0.531137222709789,0.468862777290211,1378,0.19
145705996,0.531137222709789,0.468862777290211,1379,0.19
131844007,0.5310848295197816,0.4689151704802183,1380,0.19
10467778,0.5310587099071733,0.4689412900928266,1381,0.19
3006622,0.5310587099071733,0.4689412900928266,1382,0.19
595375,0.5309957782750387,0.4690042217249613,1383,0.191
5278546,0.530980806284532,0.4690191937154679,1384,0.191
3063029,0.530916220379396,0.4690837796206039,1385,0.191
54121140,0.5308861981587321,0.4691138018412679,1386,0.191
15957045,0.5308844557544419,0.469115544245558,1387,0.191
1260547,0.530858500668136,0.469141499331864,1388,0.191
1250152,0.530823151332816,0.469176848667184,1389,0.191
685002,0.530823151332816,0.469176848667184,1390,0.192
9797212,0.530823151332816,0.469176848667184,1391,0.192
10805757,0.530823151332816,0.469176848667184,1392,0.192
5271016,0.5307868035172671,0.4692131964827329,1393,0.192
56612070,0.5307672746408469,0.469232725359153,1394,0.192
515104,0.5307646996144558,0.4692353003855442,1395,0.192
439920,0.5307640085867753,0.4692359914132246,1396,0.192
351993,0.5307592033003576,0.4692407966996424,1397,0.193
54171947,0.5307592033003576,0.4692407966996424,1398,0.193
10612861,0.5306120793700526,0.4693879206299474,1399,0.193
297594,0.5306052999622619,0.4693947000377381,1400,0.193
122707085,0.5306052999622619,0.4693947000377381,1401,0.193
13871387,0.5305132569516118,0.4694867430483883,1402,0.193
451380,0.5304949229643015,0.4695050770356986,1403,0.193
97050156,0.5304649636769809,0.469535036323019,1404,0.193
97050155,0.5304649636769809,0.469535036323019,1405,0.194
9921097,0.5304326282346437,0.4695673717653563,1406,0.194
22677568,0.5304326282346437,0.4695673717653563,1407,0.194
14135555,0.5304033358495395,0.4695966641504605,1408,0.194
451851,0.5303848069906607,0.4696151930093393,1409,0.194
131875801,0.5303822148793909,0.4696177851206091,1410,0.194
121487029,0.5303806977931009,0.469619302206899,1411,0.194
3000230,0.5303164270292857,0.4696835729707142,1412,0.195
11023772,0.5302903997722822,0.4697096002277178,1413,0.195
101155105,0.5302772300999823,0.4697227699000177,1414,0.195
6454581,0.5302653839203462,0.4697346160796538,1415,0.195
71440676,0.5302239666332943,0.4697760333667057,1416,0.195
92262454,0.5301315614404154,0.4698684385595846,1417,0.195
54069128,0.5301243941455407,0.4698756058544593,1418,0.195
135743865,0.5301208317218143,0.4698791682781856,1419,0.196
3012256,0.5300757276882646,0.4699242723117353,1420,0.196
92265797,0.5300497058401001,0.4699502941598999,1421,0.196
325261,0.5300497058401001,0.4699502941598999,1422,0.196
71444956,0.5299819839832052,0.4700180160167949,1423,0.196
516074,0.5299385782576493,0.4700614217423506,1424,0.196
12939902,0.529838453519296,0.4701615464807039,1425,0.196
46783463,0.529838453519296,0.4701615464807039,1426,0.196
12939901,0.529838453519296,0.4701615464807039,1427,0.197
2777912,0.529838453519296,0.4701615464807039,1428,0.197
96544,0.529838453519296,0.4701615464807039,1429,0.197
44283163,0.529838453519296,0.4701615464807039,1430,0.197
10521478,0.529838453519296,0.4701615464807039,1431,0.197
7070208,0.529838453519296,0.4701615464807039,1432,0.197
688019,0.529838453519296,0.4701615464807039,1433,0.197
16076142,0.5298055848472633,0.4701944151527367,1434,0.198
503315,0.5297391041583113,0.4702608958416887,1435,0.198
25182693,0.5296935573230439,0.470306442676956,1436,0.198
10703793,0.52965786500852,0.47034213499148,1437,0.198
10850176,0.5296535329751277,0.4703464670248723,1438,0.198
102461643,0.5296187408001767,0.4703812591998233,1439,0.198
18661222,0.5295875339583893,0.4704124660416107,1440,0.198
92231367,0.5295875339583893,0.4704124660416107,1441,0.199
54176875,0.5295666310549927,0.4704333689450073,1442,0.199
5278281,0.5295650870941626,0.4704349129058374,1443,0.199
23238948,0.5295495888865925,0.4704504111134074,1444,0.199
5272203,0.52954273237942,0.4704572676205801,1445,0.199
511997,0.5294990677760549,0.470500932223945,1446,0.199
21139659,0.5294853254300506,0.4705146745699494,1447,0.199
92234638,0.5294853254300506,0.4705146745699494,1448,0.2
7256363,0.5294842005125268,0.4705157994874732,1449,0.2
1254895,0.5294842005125268,0.4705157994874732,1450,0.2
448222,0.5294842005125268,0.4705157994874732,1451,0.2
7068779,0.5294842005125268,0.4705157994874732,1452,0.2
2868392,0.5294842005125268,0.4705157994874732,1453,0.2
131874103,0.5294842005125268,0.4705157994874732,1454,0.2
5342881,0.5294842005125268,0.4705157994874732,1455,0.2
24867503,0.5294842005125268,0.4705157994874732,1456,0.201
50987963,0.5294842005125268,0.4705157994874732,1457,0.201
131846929,0.5294800784168205,0.4705199215831794,1458,0.201
92265999,0.5294800784168205,0.4705199215831794,1459,0.201
93982631,0.5293960140457685,0.4706039859542315,1460,0.201
174373,0.5293324696435047,0.4706675303564953,1461,0.201
132942400,0.5293014508336984,0.4706985491663016,1462,0.201
10445070,0.5292752426774046,0.4707247573225954,1463,0.202
3010385,0.5292657946553272,0.4707342053446728,1464,0.202
71762721,0.5292632338788343,0.4707367661211657,1465,0.202
5273493,0.5292262861068966,0.4707737138931034,1466,0.202
492408,0.5292107628778245,0.4707892371221754,1467,0.202
86592813,0.5291161319561892,0.4708838680438108,1468,0.202
176826,0.5290679083913252,0.4709320916086747,1469,0.202
135409287,0.5289871391921895,0.4710128608078104,1470,0.203
136164982,0.5289871391921895,0.4710128608078104,1471,0.203
136756020,0.5289871391921895,0.4710128608078104,1472,0.203
137256436,0.5289524674900046,0.4710475325099954,1473,0.203
151382,0.5288542270783443,0.4711457729216557,1474,0.203
57197621,0.5288542270783443,0.4711457729216557,1475,0.203
21117608,0.5288542270783443,0.4711457729216557,1476,0.203
688478,0.5288542270783443,0.4711457729216557,1477,0.204
54669719,0.5288542270783443,0.4711457729216557,1478,0.204
101507,0.5288542270783443,0.4711457729216557,1479,0.204
27556877,0.5288542270783443,0.4711457729216557,1480,0.204
94842080,0.5288542270783443,0.4711457729216557,1481,0.204
352976,0.5288542270783443,0.4711457729216557,1482,0.204
149094,0.5288372247812011,0.4711627752187989,1483,0.204
424081,0.5288310276248886,0.4711689723751113,1484,0.204
161884,0.5288310276248886,0.4711689723751113,1485,0.205
92233609,0.5288310276248886,0.4711689723751113,1486,0.205
46874399,0.5288059658551415,0.4711940341448585,1487,0.205
45038620,0.5288059658551415,0.4711940341448585,1488,0.205
71305626,0.5288059658551415,0.4711940341448585,1489,0.205
92233558,0.5288059658551415,0.4711940341448585,1490,0.205
512127,0.5288059658551415,0.4711940341448585,1491,0.205
121486895,0.5287628928748058,0.4712371071251941,1492,0.206
22885208,0.528761901627927,0.4712380983720729,1493,0.206
512604,0.5287606656615234,0.4712393343384766,1494,0.206
130712,0.5286161736091151,0.4713838263908849,1495,0.206
133673908,0.5285781560666016,0.4714218439333983,1496,0.206
189237,0.5285714282351692,0.4714285717648307,1497,0.206
494647,0.5285346405847069,0.4714653594152931,1498,0.206
492407,0.528503989363241,0.471496010636759,1499,0.207
489477,0.5284584184788363,0.4715415815211636,1500,0.207
46875292,0.5284355375179879,0.4715644624820121,1501,0.207
97186,0.5284355375179879,0.4715644624820121,1502,0.207
10494286,0.5284330216441333,0.4715669783558666,1503,0.207
15172869,0.5284096040668951,0.4715903959331049,1504,0.207
5271269,0.5283880956194704,0.4716119043805295,1505,0.207
6478491,0.5283834954352116,0.4716165045647884,1506,0.208
23519652,0.5283469332915546,0.4716530667084454,1507,0.208
21140595,0.5283426388834018,0.4716573611165982,1508,0.208
71404177,0.5283172108287,0.4716827891713001,1509,0.208
3080719,0.5282874215849143,0.4717125784150857,1510,0.208
5273524,0.5282874215849143,0.4717125784150857,1511,0.208
