,PCA1,PCA2,group
280444,-0.5091203281545732,-0.09413969409325239,Pubchem
282696,-0.5699007626266407,0.16628460224710875,Pubchem
282734,-0.532551873559923,0.4724577138193849,Pubchem
286481,-0.5224376445052427,0.3253557483193027,Pubchem
287101,-0.5037310187831611,0.1867650748621782,Pubchem
287302,-0.5153917052308348,0.34728569350595845,Pubchem
289971,-0.5439993156099266,0.012204326907858207,Pubchem
295521,0.4808169790565876,0.2927239486218641,Pubchem
296233,-0.5449463786504142,-0.0377978842816291,Pubchem
299952,-0.5500018208056119,0.22305427518601403,Pubchem
301046,-0.5656237722493702,0.11777071471277033,Pubchem
324309,-0.5221332704997024,-0.0014989155973841517,Pubchem
326808,-0.5306191900715301,0.10232105637715252,Pubchem
330549,0.49220075674062036,0.05416710637008867,Pubchem
333596,0.42250056160064015,0.6165953786481153,Pubchem
333691,-0.49344259017815945,0.2887229198145974,Pubchem
334830,-0.5321835585192972,0.2543409393606274,Pubchem
335400,0.4702245165504397,0.37086208864662934,Pubchem
338571,-0.5124123778800255,0.06977919711100185,Pubchem
345462,-0.5686840056694161,0.08207437955468702,Pubchem
345785,-0.5420611705616967,-0.04513908028955317,Pubchem
350834,-0.5492495271708882,0.18184564738597142,Pubchem
354916,-0.5412011086939622,0.11880269211517215,Pubchem
355280,-0.48328942623697224,0.07646413761116352,Pubchem
356732,-0.5331721628694869,-0.0620691942662282,Pubchem
356796,-0.48445319809632226,0.2565774588599015,Pubchem
357072,-0.5380936748386425,-0.17114440550747823,Pubchem
358197,-0.5192207135921325,-0.05002872846431727,Pubchem
358367,-0.5044852696179035,0.10628411554729486,Pubchem
359064,-0.5459054958839561,-0.1028802827205574,Pubchem
360644,-0.5084777854955842,-0.024312667199170065,Pubchem
360646,-0.51290534884871,0.2112720356898174,Pubchem
361921,-0.5606022726076282,0.008917663679598878,Pubchem
365913,-0.590581832662298,0.1797379095655223,Pubchem
365914,-0.5882870898221557,0.19715482029349038,Pubchem
366988,-0.5400122596550433,0.17535132311103463,Pubchem
370629,-0.541197850578974,-0.1878282437294096,Pubchem
371485,-0.5305932302067493,-0.32766275935139755,Pubchem
373953,-0.5182341098505995,-0.03185511067669033,Pubchem
374904,-0.530946007268032,0.010578635597029082,Pubchem
375477,-0.5547692328076045,-0.01815722162202085,Pubchem
387072,-0.5271195720429358,-0.46837346270083574,Pubchem
387981,-0.5321076536572474,-0.07454241398105299,Pubchem
391259,-0.5259542263430512,0.09343412948925357,Pubchem
391266,-0.5617676123852303,0.043547081009059574,Pubchem
391363,-0.5286805973905254,-0.018436078200378563,Pubchem
393623,-0.5644072356378451,-0.22253396559002137,Pubchem
419564,0.4743492844615811,0.49656999503124905,Pubchem
424081,-0.5392170827172101,0.33261174540542593,Pubchem
432973,-0.5302669699843517,0.4228220824785839,Pubchem
438430,0.4789034676934774,0.45285715213752914,Pubchem
444146,0.4593501414175349,0.3139961433920586,Pubchem
446048,-0.5065238019735748,0.4325107721387987,Pubchem
446658,-0.5777021413081718,0.2809384606261559,Pubchem
446824,-0.5245185734933193,0.2499361127174651,Pubchem
446941,-0.523754000139579,0.19224999359353384,Pubchem
447722,-0.5377863757226027,0.17582326454796893,Pubchem
447724,-0.5377863757226027,0.17582326454796893,Pubchem
449044,-0.5464802587310057,0.021389791376951385,Pubchem
449584,-0.501580483663802,0.7863603725054701,Pubchem
449599,-0.5143000485532484,0.49644367886534385,Pubchem
451527,-0.5209752280261186,0.08832467669736956,Pubchem
451554,-0.5640425690500195,-0.09797995279741593,Pubchem
451873,-0.5438632002136846,-0.04282219072462311,Pubchem
451908,-0.5313319874645226,-0.15785813421707356,Pubchem
451911,-0.5133262666849686,0.05585967748658753,Pubchem
451914,-0.527176679970287,0.014241797666309374,Pubchem
451960,-0.5329700994519312,-0.23889540948858035,Pubchem
451961,-0.5227658177876938,-0.23425776064039766,Pubchem
452081,-0.5223378078613495,0.05241400699168012,Pubchem
452498,-0.48772700676554603,0.08241333841996829,Pubchem
453081,-0.5306985562420575,0.05701891485983704,Pubchem
453193,-0.5338835171147466,-0.038252530924421844,Pubchem
453194,-0.5338835171147466,-0.038252530924421844,Pubchem
