,Hydrogel-forming ability,variable,value,Descriptors,Values
45,Gelator,ALOGP,0.7225024015369838,ALOGP,0.7225024015369838
46,Gelator,ALOGP,0.39826719869947536,ALOGP,0.39826719869947536
47,Gelator,ALOGP,0.4110600014778689,ALOGP,0.4110600014778689
48,Nongelator,ALOGP,0.5824281386241041,ALOGP,0.5824281386241041
49,Nongelator,ALOGP,0.6298400206901649,ALOGP,0.6298400206901649
50,Nongelator,ALOGP,0.4186987364220794,ALOGP,0.4186987364220794
51,Gelator,ALOGP,0.31344675977240855,ALOGP,0.31344675977240855
52,Gelator,ALOGP,0.0,ALOGP,0.0
53,Nongelator,ALOGP,0.18681186728737162,ALOGP,0.18681186728737162
54,Nongelator,ALOGP,0.17276287593290476,ALOGP,0.17276287593290476
55,Gelator,ALOGP,0.13028338136407303,ALOGP,0.13028338136407303
56,Nongelator,ALOGP,0.2778116456070346,ALOGP,0.2778116456070346
57,Gelator,ALOGP,0.23533215103820285,ALOGP,0.23533215103820285
58,Gelator,ALOGP,0.03044409960836475,ALOGP,0.03044409960836475
59,Nongelator,ALOGP,0.055013670287445526,ALOGP,0.055013670287445526
60,Nongelator,ALOGP,0.04293209192344638,ALOGP,0.04293209192344638
61,Gelator,ALOGP,0.1010585236089559,ALOGP,0.1010585236089559
62,Nongelator,ALOGP,0.012487992315081686,ALOGP,0.012487992315081686
63,Nongelator,ALOGP,0.6628981009384468,ALOGP,0.6628981009384468
64,Nongelator,ALOGP,0.8314490504692235,ALOGP,0.8314490504692235
65,Nongelator,ALOGP,1.0,ALOGP,1.0
66,Nongelator,ALOGP,0.08023904529668219,ALOGP,0.08023904529668219
67,Nongelator,ALOGP,0.21001440922190204,ALOGP,0.21001440922190204
68,Nongelator,ALOGP,0.0997192049065248,ALOGP,0.0997192049065248
69,Gelator,ALOGP,0.2554496416167886,ALOGP,0.2554496416167886
70,Gelator,ALOGP,0.08176309761324174,ALOGP,0.08176309761324174
71,Gelator,ESOL,0.8748487937455451,ESOL,0.8748487937455451
72,Gelator,ESOL,1.0000000000000002,ESOL,1.0000000000000002
73,Gelator,ESOL,0.977495145494625,ESOL,0.977495145494625
74,Gelator,ESOL,0.9323844596903887,ESOL,0.9323844596903887
75,Gelator,ESOL,0.7993344459639347,ESOL,0.7993344459639347
76,Gelator,ESOL,0.8732105306157212,ESOL,0.8732105306157212
77,Nongelator,ESOL,0.9031920254946088,ESOL,0.9031920254946088
78,Gelator,ESOL,0.8579240220797932,ESOL,0.8579240220797932
79,Gelator,ESOL,0.9678259710248235,ESOL,0.9678259710248235
80,Gelator,ESOL,0.894133818539078,ESOL,0.894133818539078
81,Gelator,ESOL,0.8684653914260534,ESOL,0.8684653914260534
82,Gelator,ESOL,0.8330238800916185,ESOL,0.8330238800916185
83,Gelator,ESOL,0.8780132471916738,ESOL,0.8780132471916738
84,Nongelator,ESOL,0.8827796205112847,ESOL,0.8827796205112847
85,Nongelator,ESOL,0.8619847395848912,ESOL,0.8619847395848912
86,Nongelator,ESOL,0.8029239218647541,ESOL,0.8029239218647541
87,Nongelator,ESOL,0.8870745757913304,ESOL,0.8870745757913304
88,Nongelator,ESOL,0.8119995100808548,ESOL,0.8119995100808548
89,Nongelator,ESOL,0.7877139961925602,ESOL,0.7877139961925602
90,Nongelator,ESOL,0.8870745757913304,ESOL,0.8870745757913304
91,Gelator,ESOL,0.7877139961925602,ESOL,0.7877139961925602
92,Gelator,ESOL,0.6488118838779806,ESOL,0.6488118838779806
93,Gelator,ESOL,0.6010578045891672,ESOL,0.6010578045891672
94,Gelator,ESOL,0.6010578045891672,ESOL,0.6010578045891672
95,Gelator,ESOL,0.6010578045891672,ESOL,0.6010578045891672
96,Gelator,ESOL,0.5714550107516505,ESOL,0.5714550107516505
97,Gelator,ESOL,0.5714550107516505,ESOL,0.5714550107516505
98,Gelator,ESOL,0.5030705303089729,ESOL,0.5030705303089729
99,Gelator,ESOL,0.7230407767674406,ESOL,0.7230407767674406
100,Gelator,ESOL,0.6752339646079879,ESOL,0.6752339646079879
101,Gelator,ESOL,0.6455835410808635,ESOL,0.6455835410808635
