,C-016,H-052,F10[O-O],VE3sign_D/Dt,SpDiam_AEA(ed),P_VSA_charge_4,CATS2D_05_DL,SM10_AEA(dm),CATS2D_09_DA,CATS2D_06_DL,GATS7s,CATS2D_03_DL,VE1sign_B(p),B09[O-O],MATS3p,SpMAD_EA(ri),VE1sign_Dz(v),F05[N-N],P_VSA_charge_7,F07[N-O],GATS6i,CATS2D_05_DA,CATS2D_04_AA,nN(CO)2,Group
436109,0.25,0.0,0.0,0.8490617033288923,0.2164190766756815,0.1577236234876368,0.125,0.22061535711052804,0.09090909090909091,0.125,0.3530633588175074,0.16666666666666666,0.5729590786223889,0.0,0.4524129667616327,0.35878155727995154,0.07299740128918747,0.0,0.06873705714906615,0.09090909090909091,0.5836869989605813,0.08333333333333333,0.3333333333333333,0.0,Pubchem
439930,0.25,0.0,0.0,0.8368199041554123,0.27280811803777927,0.0,0.125,0.20113572286781956,0.0,0.125,0.2620289510856467,0.0,0.0242033052481862,0.0,0.4517539834190105,0.38277927201348927,0.007816732371765662,0.0,0.06873705714906615,0.09090909090909091,0.39523813887544984,0.25,0.25,0.0,Pubchem
444892,0.25,0.0,0.0,0.8490617033288936,0.2164190766756815,0.0,0.125,0.22061535711052804,0.09090909090909091,0.125,0.2733264212580584,0.0,0.5291457226545669,1.0,0.5231188819956117,0.488470119917471,0.048138537769187445,0.0,0.06873705714906615,0.09090909090909091,0.5011650587894412,0.3333333333333333,0.41666666666666663,0.0,Pubchem
446164,0.25,0.0,0.0,0.8143257829824361,0.15234839695243685,0.0,0.125,0.2212247672886486,0.36363636363636365,0.125,0.31468906336989766,0.0,0.5874585873096363,1.0,0.5949963194388664,0.7330873795061219,0.22457197809242277,0.0,0.0,0.36363636363636365,0.7121083088008302,0.41666666666666663,0.41666666666666663,0.3333333333333333,Pubchem
447192,0.5,0.0,0.0,0.7771491553651816,0.27936675455016946,0.0,0.125,0.2198597044144326,0.0,0.25,0.28569704365268533,0.0,0.39105399301769916,0.0,0.5409366008566826,0.41536844327994427,0.10650267062666252,0.0,0.06873705714906615,0.09090909090909091,0.3834495008859599,0.3333333333333333,0.3333333333333333,0.0,Pubchem
450215,0.0,0.0,0.0,0.8392580318172344,0.2187374504585211,0.14057127397284885,0.0,0.2235514119369001,0.09090909090909091,0.0,0.37754309711927925,0.0,0.32069084064048414,1.0,0.5442638698881036,0.6063194451817893,0.14164259029442997,0.0,0.0,0.09090909090909091,0.5882292156399673,0.3333333333333333,0.41666666666666663,0.3333333333333333,Pubchem
450447,0.25,0.0,0.0,0.8490617033288923,0.2164190766756815,0.0,0.25,0.22061535711052804,0.09090909090909091,0.125,0.44919705241342134,0.16666666666666666,0.6437853561404624,1.0,0.497813063771698,0.3409285130901569,0.085342458045921,0.0,0.0,0.09090909090909091,0.5746991917347513,0.08333333333333333,0.41666666666666663,0.3333333333333333,Pubchem
451375,0.25,0.0,0.0,0.8602298383530815,0.13552029002964394,0.1577236234876368,0.0,0.15386261568721293,0.09090909090909091,0.125,0.33895909054219087,0.0,0.6011704846136451,0.0,0.5432088008060589,0.20764610919410398,0.1171411020334421,0.0,0.06873705714906615,0.09090909090909091,0.664130451858211,0.08333333333333333,0.16666666666666666,0.0,Pubchem
451377,0.0,0.14285714285714285,0.0,0.8636459013620601,0.14711060599889936,0.1577236234876368,0.0,0.15641166978747167,0.09090909090909091,0.125,0.407793438256593,0.3333333333333333,0.47542329458268934,0.0,0.5730588537298269,0.4820125329474605,0.34198909822713613,0.0,0.05515355740507638,0.09090909090909091,0.514249192377519,0.08333333333333333,0.16666666666666666,0.0,Pubchem
451568,0.25,0.0,0.0,0.8738708966624015,0.14234495213678722,0.1577236234876368,0.0,0.1543949435754346,0.09090909090909091,0.0,0.3099146594603127,0.0,0.5250715234017503,1.0,0.583345043766699,0.34802441749501956,0.08939602025386222,0.0,0.0,0.09090909090909091,0.40304197230105304,0.08333333333333333,0.3333333333333333,0.0,Pubchem
