ID,PCA1,PCA2,PCA3,Hydrogel-forming ability
Park_2007_2a,4.275000315674362,2.7576010067681773,1.227800740360275,Gelator
Park_2007_2b,5.569392288589555,2.7343786778279386,1.0873251070733565,Gelator
Park_2007_2c,6.525858155977021,2.5510169343632936,1.1800451152079052,Gelator
Park_2007_2d,8.406480268303788,2.246900774937904,1.3144499917426642,Gelator
Skilling_2018_5a,3.660968597943363,-8.328583313544767,-4.78106655828826,Nongelator
Skilling_2018_5b,1.3336170695175071,-8.214059608325675,-5.021553720299902,Nongelator
Skilling_2018_5c,1.2126366608130468,-8.014676716107632,-5.421582138533912,Nongelator
Skilling_2018_6a,11.663517592216857,-8.403686061435343,-3.890743252885113,Nongelator
Skilling_2018_6b,9.862095067965363,-8.355263192315658,-4.056826106630616,Nongelator
Skilling_2018_6c,5.926608762911042,-8.145026857225842,-4.552432653309811,Nongelator
Skilling_2018_6d,3.723252971221897,-8.003957450220941,-4.802966530633873,Nongelator
Skilling_2018_6e,1.4123487084183763,-7.855388227529083,-5.059495303931489,Nongelator
Nuthanakanti_2020_3a,8.338597619772338,-5.712102499436092,3.69812669865058,Nongelator
Nuthanakanti_2020_3b,10.192073949732746,-5.79117954642854,3.8798385307837013,Gelator
Nuthanakanti_2020_3c,11.975908778627215,-5.888344381152495,4.057859345700758,Gelator
Nuthanakanti_2020_4a,7.281484122949156,-6.304353798953637,4.264465810229497,Nongelator
Nuthanakanti_2020_4b,9.147419029112001,-6.390065225728874,4.4607830789131375,Gelator
Nuthanakanti_2020_4c,10.93634912066321,-6.461297639073453,4.625418891318088,Gelator
Seela_2011_1,4.256289650355233,8.427909193067896,-0.700818016869747,Gelator
Seela_2011_2,4.296624941069177,8.387526859513127,-0.6798281848533694,Gelator
Seela_2011_3,9.401418955179233,7.617807145610788,0.30788613388885994,Nongelator
Seela_2011_4,16.50276055193059,11.038111785270708,-1.5157172312070737,Nongelator
Seela_2011_13,4.5182914864746495,8.223710796655231,-0.08950328438896724,Nongelator
Jung_2005,3.8642336495768626,1.3119922553990957,3.0691780602567804,Gelator
Sreenivasachary_2005,-5.34111596142086,1.9953762005012192,-3.1876957333060827,Gelator
Buerkle_2009_b,2.798222959359131,0.18512572532028135,-4.322381169486587,Nongelator
Buerkle_2012_8BrG,-6.3143264967879125,1.8936511540862817,-2.7942483131447142,Nongelator
Buerkle_2012_8OMeG,-5.194478712904622,1.5734556037259773,-2.728728932537778,Gelator
Buerkle_2012_8BrTAcG,3.700637622728884,0.4502753953901478,-5.710729357648066,Nongelator
Buerkle_2012_8OMeTAcG,4.371132316482144,0.254966975929973,-5.426084144820127,Gelator
Xiao_2018_2,-6.179471111981372,2.145283829445365,-2.0088087141327855,Gelator
Xiao_2018_4,-7.519407625227749,1.915694669923833,-1.5567243457064215,Nongelator
Xiao_2018_5,-6.078916672233392,1.6183672904591728,-2.1214941686038404,Nongelator
Xiao_2019_2,-6.440961630715286,1.1665529082623478,-2.836359069918129,Gelator
Xiao_2019_3,-5.208174740333209,1.442915924164862,-3.2505344442104662,Nongelator
Jia_2018_UC8,13.07655141317577,4.437222583918257,-0.07167427442509004,Nongelator
Jia_2018_UC12,16.4195106569659,3.755602172071834,0.18985247771656355,Nongelator
Jia_2018_UC16,19.650421350347145,3.274852845326622,0.3936898754548377,Nongelator
Tang_2019_ArabinoC,-9.905786569224992,-4.1622738287099175,3.4960278767217745,Nongelator
Tang_2019_DideoxyC,-11.721514414358293,-4.926991260277678,7.410120212703822,Nongelator
Peters_2014_3,-7.76671297306894,0.7534884288644254,0.34596695146407425,Nongelator
Plank_2016_2,-6.7832323380877675,1.7939918627461622,-1.0023845076128646,Gelator
Du2021_L_G,-7.421787759804251,1.5932811920374585,-1.3695424362940019,Gelator
